,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,112.51,15.29,15.91,15.89,20.59,59.95,2180.67,,5698.71,2391.5,7641.63,9122.87,16634.63,20209.68,25965.55,34970.99
f_1,11.12,112.66,21.64,18.17,28.56,62.46,2122.87,3879.37,4387.76,2956.01,5320.31,,19967.99,13421.48,16679.05,44905.8
e_1,11.35,12.67,127.86,15.13,25.31,46.37,1772.79,5561.08,3361.63,3709.19,5140.86,6391.88,18330.39,17739.37,,40079.3
c_1,11.48,9.2,13.83,143.24,36.69,,1781.12,3218.39,,3647.35,4247.76,7545.34,17476.45,22408.41,23686.38,49209.05
b_1,10.86,8.9,12.52,12.35,202.26,79.23,1892.52,3447.92,2533.55,2903.05,,6799.41,13641.97,13861.3,19866.35,23086.4
a_1,8.05,9.95,8.95,,10.36,427.62,769.71,1947.96,2409.92,2148.63,3805.57,,10042.55,,,24136.34
h_1,5.97,7.68,6.22,8.51,10.97,38.25,3122.46,1932.31,1772.19,1891.19,2235.32,3214.62,,8815.96,11457.29,19881.08
d_0,,5.21,5.77,11.04,10.66,38.04,748.63,4092.67,1647.03,1337.35,3417.6,3360.64,8278.97,9431.33,8551.29,20762.94
c_0,4.9,4.78,7.53,,11.99,27.73,877.63,1591.03,4370.87,1446.22,4168.2,3329.9,6735.67,9356.68,8365.24,17304.23
g_1,7.38,4.78,3.79,6.29,9.67,23.72,618.79,1335.37,1445.13,5430.33,2200.67,3851.13,6535.75,,8555.36,
b_0,4.08,4.29,4.45,7.9,,19.67,795.7,1180.88,1438.72,1418.99,6207.42,3208.35,7518.21,9672.04,,16788.87
f_0,4.44,,5.06,6.26,9.13,,581.92,1317.67,1522.47,1075.36,2103.5,7581.38,7279.25,8748.34,13723.87,12428.72
h_0,4.14,4.66,5.04,5.16,8.04,22.2,,1278.79,1399.58,1892.64,2029.46,2246.96,,7569.13,7632.7,20731.18
a_0,3.4,3.46,3.73,3.6,5.89,,543.84,789.66,1106.79,,1558.92,1483.52,4484.32,17081.16,,12329.94
e_0,2.78,3.66,,3.67,6.64,,343.5,1065.03,1345.76,871.11,,1923.24,4638.58,,19146.05,9022.76
g_0,5.26,3.1,3.3,3.47,7.31,17.64,398.75,809.91,843.69,,1457.39,2968.77,3601.0,5161.94,7982.25,
