,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,13.8,1.27,0.65,0.52,0.44,0.46,0.84,0.78,0.69,0.85,0.85,0.36,0.78,0.58,0.92,0.62
e_1,0.7,14.43,0.63,0.45,0.53,0.51,0.87,2.24,1.05,0.89,1.22,1.09,1.09,0.45,1.29,0.89
c_1,0.48,0.51,16.56,0.6,1.34,0.56,0.79,0.71,0.86,0.26,0.58,0.82,0.79,0.82,0.72,0.96
d_1,0.6,0.57,0.39,21.9,0.47,0.45,1.09,0.35,0.86,2.54,1.17,0.93,1.1,1.1,0.95,1.08
b_1,0.48,0.46,0.53,0.61,19.8,1.55,0.69,0.89,0.68,0.77,0.32,1.08,1.08,1.08,0.65,0.98
a_1,0.66,0.49,0.55,0.69,0.47,27.99,0.89,0.86,0.82,0.73,1.05,0.99,1.15,1.18,0.55,0.98
h_1,1.1,0.62,0.7,0.73,0.71,0.62,5.05,0.95,1.58,1.24,1.14,1.19,0.6,1.54,1.01,1.63
d_0,0.82,0.54,2.06,0.35,0.74,0.56,1.28,2.81,1.27,0.76,1.1,1.02,1.27,1.44,1.33,1.35
g_1,0.68,0.45,0.7,1.49,0.7,0.68,1.17,0.99,6.68,1.33,1.3,2.12,1.06,1.42,1.07,0.82
c_0,0.93,0.71,0.55,0.9,0.44,0.66,1.2,1.08,1.2,3.44,3.52,1.46,1.27,1.17,1.54,1.22
b_0,0.98,0.71,0.71,0.87,0.46,0.52,1.43,1.19,1.21,1.13,3.85,1.27,1.09,1.29,3.13,1.32
f_0,0.46,0.48,0.94,0.86,0.81,0.93,1.27,1.39,1.31,1.12,1.35,4.25,1.33,3.56,0.94,1.55
h_0,1.01,0.66,0.84,0.81,0.82,0.72,0.64,1.02,1.69,1.3,1.23,1.15,0.79,1.48,0.97,2.14
e_0,0.87,0.25,1.22,0.74,0.87,0.9,1.47,0.99,1.15,1.27,1.08,1.51,1.43,4.7,1.02,1.54
a_0,0.8,0.73,0.93,0.67,0.79,0.36,1.25,1.2,1.45,1.15,1.28,1.39,1.47,1.46,4.73,1.75
g_0,0.55,0.48,0.82,1.45,0.81,0.62,1.27,0.93,0.84,1.11,1.17,2.55,1.1,1.53,0.91,0.85
