,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.86,1.43,1.32,1.71,4.34,18.76,29.14,40.29,46.92,56.14,51.43,78.0,96.59,142.51,160.88
f_1,1.15,1.0,1.2,1.21,1.37,3.28,14.44,27.82,25.78,37.95,46.02,44.63,71.11,71.42,78.97,128.73
c_1,0.7,0.84,1.0,1.19,1.48,2.97,14.64,21.68,15.77,33.68,39.83,37.64,61.26,71.44,91.26,101.73
d_1,0.75,0.84,0.84,1.0,0.99,2.95,13.1,16.55,20.02,43.72,37.95,39.35,64.93,67.06,80.01,82.05
b_1,0.6,0.72,0.68,1.01,1.0,3.94,12.84,18.65,19.8,35.5,33.67,41.53,49.58,65.45,75.9,101.72
a_1,0.23,0.3,0.33,0.33,0.26,1.0,4.89,6.63,6.97,12.04,11.91,15.47,19.84,23.76,29.29,36.47
h_1,0.05,0.07,0.07,0.08,0.08,0.19,1.0,1.78,1.47,2.39,2.58,2.77,3.94,4.95,5.47,8.58
g_1,0.03,0.04,0.05,0.06,0.05,0.15,0.58,1.0,0.9,1.57,2.14,1.86,2.83,2.98,3.8,4.99
d_0,0.03,0.04,0.06,0.05,0.05,0.14,0.68,1.1,1.0,1.42,1.75,1.94,3.04,2.94,4.25,5.46
c_0,0.02,0.03,0.03,0.02,0.03,0.08,0.43,0.61,0.66,1.0,1.08,1.45,1.83,1.99,2.18,3.31
f_0,0.02,0.02,0.03,0.03,0.03,0.08,0.37,0.45,0.57,0.86,1.0,1.12,1.58,1.94,3.32,2.2
b_0,0.02,0.02,0.03,0.03,0.02,0.06,0.36,0.55,0.48,0.68,0.89,1.0,2.18,1.63,1.76,2.7
a_0,0.01,0.01,0.02,0.02,0.02,0.05,0.25,0.37,0.33,0.54,0.64,0.48,1.0,1.14,1.64,1.7
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.21,0.34,0.34,0.51,0.49,0.59,0.87,1.0,1.2,1.73
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.25,0.25,0.45,0.31,0.52,0.62,0.83,1.01,1.17
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.2,0.19,0.32,0.45,0.38,0.56,0.56,0.91,1.0
