,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.36,1.1,0.65,0.64,0.46,0.53,2.48,1.74,2.96,2.43,2.54,0.54,4.19,2.65,1.73,3.88
e_1,0.68,5.56,0.47,0.69,0.62,0.49,2.14,1.39,2.65,5.82,2.85,2.97,4.73,3.43,0.84,4.91
d_1,0.56,0.59,6.46,0.52,0.56,0.7,2.4,2.45,5.48,0.55,3.17,3.13,4.12,2.78,2.73,5.05
c_1,0.63,0.52,0.61,6.79,1.16,0.55,1.91,2.09,0.47,2.88,2.36,2.96,4.58,2.73,3.53,3.47
b_1,0.63,0.56,0.57,0.75,7.51,1.04,1.79,2.36,2.77,2.57,0.69,2.88,4.06,2.18,2.84,4.14
a_1,0.59,0.47,0.55,0.51,0.72,11.03,2.64,2.73,3.08,3.63,3.54,2.98,4.15,1.18,2.24,4.83
h_1,1.43,1.0,0.92,1.06,0.94,0.9,16.11,5.4,4.7,4.29,5.53,4.29,3.33,6.59,5.63,9.75
g_1,0.81,0.82,1.83,0.84,1.02,1.08,2.54,19.35,6.37,2.93,6.03,9.76,6.46,5.12,5.72,3.32
c_0,1.33,0.9,1.28,0.46,0.81,0.93,4.42,4.36,13.91,5.86,10.3,7.45,8.08,5.26,5.55,9.99
d_0,1.18,1.03,0.27,2.16,0.99,0.8,4.38,3.28,3.43,13.82,5.03,3.54,9.19,4.59,5.68,7.08
b_0,1.21,1.13,1.25,0.93,0.41,0.8,4.78,4.75,5.94,4.63,16.47,6.23,7.94,8.94,6.96,7.11
f_0,0.46,0.88,1.16,0.84,0.98,1.72,4.1,4.57,4.86,5.74,6.93,19.58,10.38,6.48,17.99,7.66
h_0,1.66,0.94,1.05,0.94,1.03,0.97,,4.02,4.31,3.6,4.72,4.65,2.05,5.05,6.25,7.88
a_0,1.3,0.95,1.31,1.53,0.91,,3.22,2.75,5.55,4.79,5.34,4.66,9.5,21.58,4.04,7.38
e_0,1.12,0.34,1.58,1.01,0.79,1.01,4.2,6.37,5.22,6.9,5.96,6.64,9.12,9.35,27.78,6.42
g_0,0.97,0.85,1.9,1.12,0.86,0.83,3.98,2.06,4.0,4.25,5.26,7.19,7.16,5.25,7.52,
