,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.05,1.06,0.9,0.98,0.93,0.93,0.85,1.27,1.11,1.12,0.98,0.96,0.97,0.95,0.86
f_1,0.96,1.0,1.23,1.01,0.94,0.94,0.91,0.99,0.89,0.94,1.06,0.9,0.87,0.96,0.84,0.99
e_1,0.9,0.81,1.0,1.2,1.0,0.94,1.05,1.13,0.97,0.96,1.35,1.16,1.1,0.99,1.14,1.07
c_1,1.13,1.01,0.81,1.0,1.33,1.0,1.05,1.04,0.89,0.83,0.72,0.99,0.96,1.0,0.95,0.97
b_1,1.04,1.05,0.98,0.77,1.0,1.45,1.03,1.0,1.1,0.99,0.81,0.99,1.06,0.94,1.0,1.06
a_1,1.04,1.09,1.04,1.01,0.7,1.0,1.1,1.09,1.04,1.27,1.14,0.96,1.13,1.16,1.11,1.08
h_1,1.05,1.13,0.94,0.96,0.98,0.91,1.0,1.13,0.9,0.92,0.86,0.99,0.95,0.96,0.93,1.12
g_1,1.14,1.04,0.88,0.95,0.98,0.91,0.86,1.0,1.01,0.94,0.87,1.15,0.94,0.93,1.0,0.98
c_0,0.81,1.12,0.99,1.13,0.88,0.97,1.04,0.96,1.0,1.37,1.16,1.07,1.1,1.23,1.05,1.1
b_0,0.89,1.09,1.06,1.18,1.0,0.81,1.04,1.01,0.74,1.0,1.06,0.99,1.04,1.23,1.01,1.01
d_0,0.88,0.92,0.76,1.38,1.26,0.87,1.19,1.13,0.83,0.9,1.0,1.09,1.0,0.99,1.16,1.05
f_0,1.03,1.09,0.86,1.04,1.02,0.98,1.01,0.86,0.94,1.03,0.94,1.0,1.03,0.95,1.51,0.88
h_0,0.99,1.1,0.93,1.07,0.99,0.83,1.05,1.09,0.89,1.0,0.97,1.01,1.0,0.93,1.04,1.16
a_0,1.02,1.01,0.98,1.08,1.05,0.82,1.01,1.03,0.86,0.77,1.01,1.08,1.11,1.0,0.93,1.12
e_0,1.05,1.21,0.95,1.11,0.99,0.92,1.04,0.94,0.92,1.0,0.87,0.69,0.98,1.08,1.0,1.04
g_0,1.15,0.97,0.95,1.0,0.95,0.94,0.9,1.03,0.91,1.01,0.92,1.15,0.85,0.86,0.94,1.0
