,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.96,1.16,1.92,1.92,3.41,19.73,27.59,34.94,49.12,52.81,51.2,81.85,90.01,97.49,134.45
f_1,1.06,1.0,0.97,1.47,1.5,3.0,14.33,20.57,26.84,32.93,37.08,39.3,65.03,62.43,68.88,107.3
d_1,0.86,1.04,1.0,1.18,1.57,3.14,16.77,18.74,35.43,29.98,40.07,45.95,66.79,68.92,91.31,93.52
c_1,0.52,0.7,0.84,1.0,1.55,2.33,12.28,15.67,17.67,17.02,29.29,24.38,48.5,55.45,64.85,77.7
b_1,0.51,0.66,0.64,0.65,1.0,2.73,10.21,13.6,19.6,17.74,27.34,24.49,39.43,48.49,49.81,70.66
a_1,0.29,0.33,0.32,0.42,0.36,1.0,5.57,7.73,9.33,12.12,13.7,16.05,22.8,26.63,32.4,38.33
h_1,0.05,0.07,0.06,0.08,0.1,0.18,1.0,1.56,1.62,1.87,2.45,2.54,3.97,4.71,4.96,7.4
g_1,0.04,0.05,0.05,0.06,0.07,0.13,0.63,1.0,1.3,1.34,2.23,1.74,2.96,3.22,4.0,5.1
c_0,0.03,0.04,0.03,0.05,0.05,0.1,0.59,0.76,1.0,1.26,1.45,1.99,2.72,2.72,3.26,3.94
d_0,0.02,0.03,0.03,0.06,0.05,0.09,0.52,0.72,0.82,1.0,1.2,1.23,2.2,2.55,2.9,3.49
f_0,0.02,0.03,0.02,0.04,0.04,0.07,0.4,0.43,0.71,0.84,1.0,1.02,1.73,1.75,2.75,2.37
b_0,0.02,0.03,0.02,0.04,0.04,0.06,0.37,0.55,0.53,0.81,0.99,1.0,2.14,1.96,1.92,2.78
a_0,0.01,0.02,0.01,0.02,0.03,0.04,0.26,0.34,0.38,0.44,0.61,0.44,1.0,1.15,0.98,1.55
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.21,0.31,0.37,0.39,0.55,0.51,0.9,1.0,1.04,1.72
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.25,0.33,0.36,0.38,0.5,0.88,0.9,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.19,0.25,0.27,0.45,0.36,0.64,0.59,0.81,1.0
