,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,106.48,66.51,79.95,98.7,156.58,407.26,9199.35,15539.13,29382.46,21809.17,38765.46,38112.48,104583.96,108421.84,108647.99,149179.27
e_1,55.4,111.63,62.43,138.95,176.79,446.73,8735.33,16901.94,18786.98,40738.3,29133.43,45308.0,113534.34,104876.69,86530.19,155665.58
f_1,54.32,101.77,116.47,114.46,149.34,344.6,6634.9,16594.81,17786.99,26127.56,29866.62,25588.64,95563.26,89443.72,73717.7,113961.45
c_1,55.4,48.67,54.26,172.15,218.08,386.1,7249.59,12795.74,11069.78,17825.31,19948.22,32570.43,80936.77,68283.87,70782.29,129503.85
b_1,51.86,42.57,56.91,71.84,231.95,542.71,7370.7,12271.96,13561.96,17652.55,18271.54,25879.43,70699.91,50941.48,88637.84,123485.75
a_1,37.1,36.2,44.88,61.5,65.95,514.67,5253.84,9662.84,10042.24,16880.78,16543.16,19880.5,72527.22,42535.18,65512.96,90331.52
h_1,15.92,15.94,22.81,30.88,40.92,103.81,3104.63,5080.27,4832.6,6725.77,7780.83,8265.66,23864.1,20795.75,27025.27,47502.1
g_1,18.11,11.47,11.25,24.41,34.11,85.03,1669.55,5312.52,3952.31,4485.54,6114.7,9824.8,19931.26,21454.69,26131.69,26229.87
c_0,12.62,14.4,14.74,20.71,30.31,86.0,1759.51,3720.91,5051.95,6277.66,9710.43,7793.27,23630.35,24402.11,21183.11,30864.31
d_0,9.94,11.02,13.59,34.89,31.14,67.1,1561.05,3323.74,2605.96,6251.91,4603.84,6991.26,19934.13,16857.15,20020.51,29555.25
b_0,11.89,11.96,12.45,21.29,21.41,63.33,1640.0,3284.79,3139.46,4809.88,7196.6,5976.85,21259.54,31361.34,17928.75,28875.81
f_0,10.8,8.34,11.92,19.01,27.56,86.99,1687.24,2864.87,3343.1,4258.77,5379.92,8337.19,20871.98,16691.02,32961.0,24445.15
h_0,8.68,7.96,11.35,15.41,21.1,41.52,875.05,2521.49,2479.42,2969.68,3290.39,3994.2,11550.89,13177.17,10377.31,22406.11
a_0,8.34,8.48,8.67,15.87,18.5,45.1,1219.7,2204.22,2388.09,3347.66,3308.16,4683.1,13074.29,16750.2,11443.72,18238.3
e_0,8.15,7.01,9.43,15.11,19.23,47.42,1116.78,1957.04,2364.65,2920.13,3704.2,3650.56,15449.83,12588.48,18046.96,19123.9
g_0,9.37,6.63,8.25,12.17,16.71,45.12,915.38,1940.22,2300.94,2629.36,3144.62,5506.03,10362.26,12143.83,11318.76,16187.82
