,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.28,0.95,0.73,1.06,0.7,0.53,1.5,1.25,3.05,1.68,1.69,1.54,2.09,1.4,2.02,0.97
f_1,1.44,2.32,0.76,0.76,0.66,0.58,1.31,1.3,1.72,1.43,1.71,0.84,2.07,1.3,1.49,0.98
d_1,0.84,0.94,2.47,0.7,0.64,0.64,1.71,1.41,1.16,2.96,1.99,1.72,2.28,1.42,2.02,1.42
c_1,0.78,0.8,0.77,2.47,1.44,0.52,1.46,1.39,1.73,1.0,1.03,1.6,1.94,1.36,1.53,1.29
b_1,0.8,0.98,0.84,0.7,2.66,1.27,1.4,1.28,1.36,1.66,0.95,1.52,2.15,1.04,1.58,1.29
a_1,0.88,0.86,0.97,0.74,0.8,3.2,1.59,1.27,1.74,1.91,1.45,1.79,2.55,0.84,2.11,1.57
h_1,0.9,1.26,0.93,0.9,0.86,0.52,3.3,2.1,1.83,1.53,1.93,1.57,1.81,1.71,2.64,1.37
g_1,0.82,0.86,1.39,0.84,0.74,0.66,1.73,3.62,1.37,1.54,1.81,2.64,2.3,1.53,1.77,1.82
d_0,0.87,0.91,0.61,1.63,0.95,0.58,1.6,1.37,2.93,1.44,1.59,1.63,2.68,1.51,1.98,1.62
c_0,1.02,1.13,0.89,0.78,0.61,0.74,1.7,1.61,2.11,3.07,3.47,1.69,2.52,1.7,2.28,1.87
b_0,1.02,1.06,0.99,1.06,0.52,0.42,1.97,1.87,1.98,1.84,3.32,1.97,2.26,3.24,2.36,1.71
f_0,0.85,0.72,0.98,1.03,0.84,0.71,1.88,1.78,1.86,1.92,1.95,3.45,2.81,1.84,2.72,3.05
h_0,0.97,1.36,0.96,0.85,0.8,0.65,1.21,2.04,1.49,1.76,1.84,1.64,1.55,1.53,3.15,1.47
a_0,0.95,1.03,1.06,1.08,0.71,0.41,1.82,1.59,2.01,2.0,2.06,1.96,2.8,3.6,2.3,1.54
g_0,0.92,1.0,1.37,0.86,0.67,0.73,1.55,1.32,1.43,1.78,2.04,2.59,2.33,1.81,1.9,1.7
e_0,0.61,0.98,1.03,0.99,0.9,0.74,1.92,1.82,1.94,2.0,1.83,1.82,2.7,1.91,2.28,3.47
