,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.41,0.83,0.78,0.71,0.8,0.75,0.35,0.46,0.38,0.32,0.48,0.37,0.26,0.33,0.37,0.33
e_1,0.54,0.41,0.96,0.86,0.84,0.77,0.45,0.5,0.42,0.38,0.45,0.38,0.34,0.61,0.41,0.34
c_1,0.91,0.65,0.4,0.98,0.89,0.66,0.43,0.46,0.24,0.42,0.34,0.35,0.31,0.35,0.33,0.36
d_1,0.89,0.91,0.78,0.39,0.84,0.77,0.42,0.3,0.6,0.39,0.34,0.31,0.3,0.35,0.31,0.24
b_1,0.85,0.89,0.52,0.82,0.37,1.19,0.49,0.45,0.37,0.53,0.36,0.61,0.31,0.37,0.39,0.29
a_1,0.87,0.76,1.08,0.98,0.45,0.3,0.46,0.48,0.35,0.36,0.39,0.55,0.38,0.4,0.54,0.33
h_1,0.76,0.73,0.68,0.7,0.64,0.68,0.25,0.43,0.34,0.35,0.36,0.32,0.34,0.33,0.29,0.33
g_1,0.75,0.75,0.73,0.81,0.8,0.58,0.3,0.22,0.3,0.33,0.38,0.3,0.2,0.26,0.31,0.3
d_0,0.7,0.47,0.87,0.78,0.91,0.67,0.41,0.44,0.26,0.29,0.33,0.31,0.29,0.32,0.33,0.31
c_0,0.76,0.75,1.16,0.44,0.75,0.88,0.4,0.41,0.41,0.24,0.33,0.38,0.29,0.31,0.35,0.26
f_0,0.97,0.63,0.82,0.71,0.78,0.62,0.38,0.27,0.32,0.35,0.23,0.36,0.29,0.32,0.36,0.19
b_0,0.73,0.74,0.93,0.65,0.9,0.58,0.44,0.4,0.32,0.19,0.29,0.22,0.3,0.28,0.4,0.26
h_0,0.79,0.71,0.71,0.67,0.72,0.69,0.47,0.48,0.31,0.28,0.31,0.27,0.32,0.3,0.28,0.25
e_0,0.95,0.88,0.68,0.68,0.72,0.67,0.34,0.39,0.35,0.29,0.2,0.37,0.28,0.2,0.33,0.22
a_0,0.71,0.7,0.76,0.84,0.76,0.99,0.45,0.36,0.29,0.29,0.32,0.18,0.27,0.28,0.2,0.26
g_0,0.75,0.68,0.68,0.65,0.74,0.84,0.3,0.51,0.35,0.3,0.38,0.34,0.23,0.32,0.3,0.35
