,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.76,0.63,0.76,0.49,0.62,0.61,0.97,1.69,0.82,0.69,0.85,1.15,1.02,0.99,0.49,1.0
f_1,1.11,2.85,0.5,0.57,0.48,0.69,0.78,0.88,0.92,0.72,0.96,0.38,0.83,0.8,0.84,0.99
c_1,0.48,0.62,3.06,0.7,1.07,0.47,0.75,0.74,0.31,0.83,0.71,0.91,0.76,0.91,0.88,0.81
d_1,0.57,0.68,0.46,3.11,0.62,0.54,1.01,0.39,1.65,1.11,1.26,0.96,1.09,1.12,1.19,0.89
b_1,0.6,0.59,0.79,0.65,3.21,0.97,0.88,0.84,0.84,0.76,0.3,0.83,0.63,0.92,0.84,0.93
a_1,0.6,0.59,0.69,0.67,0.58,5.03,1.03,1.01,0.85,0.9,1.03,0.87,0.66,0.94,1.12,1.36
h_1,0.63,1.08,0.66,0.78,0.73,0.64,3.16,1.03,1.11,1.53,1.28,1.17,1.22,0.72,1.24,1.33
d_0,0.76,0.85,1.33,0.39,0.77,0.59,0.98,2.38,0.97,1.11,0.91,1.16,1.2,1.31,1.01,1.01
c_0,0.75,0.87,0.43,0.92,0.6,0.63,1.13,1.06,2.41,1.34,2.5,1.48,1.39,1.28,0.98,1.03
g_1,0.71,0.61,0.74,1.19,0.68,0.63,0.96,0.72,1.07,4.23,1.19,1.88,1.22,1.21,1.36,0.53
b_0,0.65,0.79,0.8,0.86,0.38,0.81,1.18,1.01,1.35,1.25,2.91,1.37,2.55,1.11,1.32,1.3
f_0,0.61,0.49,0.85,0.8,0.77,0.77,1.28,1.31,1.29,1.19,1.5,3.11,1.44,1.67,2.33,1.08
a_0,0.75,0.88,0.83,0.86,0.6,0.44,1.1,1.32,1.44,1.0,1.27,1.11,3.19,1.09,1.27,0.93
h_0,0.73,1.07,0.74,0.81,0.75,0.65,0.45,1.14,1.24,1.7,1.21,1.11,1.04,0.93,1.27,1.7
e_0,0.42,0.86,0.72,0.92,0.75,0.59,1.29,1.15,1.41,1.31,1.38,1.2,1.37,1.51,3.8,1.46
g_0,0.68,0.75,0.75,1.32,0.66,0.66,1.09,0.9,1.28,0.66,1.08,1.99,1.11,1.26,1.18,0.87
