,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,6.01,1.45,1.2,1.05,1.0,1.17,5.34,4.6,11.97,2.55,7.25,6.8,7.42,9.0,7.97,10.67
f_1,1.25,5.98,2.35,1.25,1.13,1.37,3.75,4.42,4.64,5.01,5.4,2.34,5.63,9.82,3.95,6.81
e_1,1.07,1.43,6.39,1.7,1.24,1.11,4.91,4.24,6.11,12.45,6.66,6.7,6.25,7.56,3.3,8.72
c_1,1.19,1.1,1.11,6.62,2.58,1.07,5.13,4.16,2.14,5.58,6.03,6.25,6.33,9.83,6.39,8.63
b_1,1.19,1.4,1.19,1.37,7.32,2.5,3.85,4.77,4.41,6.26,2.16,6.17,4.95,10.06,6.73,9.49
a_1,1.6,1.44,1.11,1.37,1.27,11.19,4.43,5.4,6.68,5.0,4.95,6.03,2.04,10.76,5.66,7.45
h_1,1.86,2.06,1.35,1.39,1.5,1.42,15.8,7.56,6.92,6.21,7.98,8.01,7.28,6.69,10.15,15.41
g_1,2.51,1.2,1.77,1.41,1.51,1.3,5.32,18.75,7.55,5.44,7.86,12.17,6.94,8.69,10.07,4.3
c_0,1.7,1.79,1.57,0.87,1.39,1.61,6.59,6.38,15.28,8.49,14.83,8.25,10.56,11.02,8.64,11.46
d_0,0.77,1.46,1.53,3.37,1.35,1.55,4.93,4.85,5.61,16.55,7.7,8.11,7.11,10.92,8.1,12.74
b_0,1.49,1.91,1.47,1.76,0.71,1.23,6.56,6.28,7.8,8.72,18.76,10.16,16.22,13.05,10.94,15.43
f_0,2.02,0.9,1.46,1.68,1.7,1.54,6.27,5.96,7.93,7.42,8.08,17.78,8.34,12.02,15.17,12.03
a_0,1.54,1.82,1.54,1.66,1.72,0.84,6.01,5.7,7.13,7.75,6.82,8.55,22.4,14.6,7.94,12.83
h_0,1.76,2.48,1.7,1.36,1.51,1.24,2.95,8.11,8.7,8.33,7.04,6.38,8.84,6.05,8.11,13.18
e_0,1.75,1.95,0.9,1.57,1.46,1.69,7.64,6.63,7.81,7.01,7.19,8.7,11.68,12.46,23.24,13.72
g_0,2.41,1.31,1.3,1.78,1.36,1.57,6.27,3.18,8.55,7.1,6.66,12.03,7.6,10.0,9.49,8.78
