,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.87,0.49,0.62,0.73,0.62,0.59,0.85,0.74,1.8,0.92,1.02,1.0,0.96,0.95,0.46,0.97
d_1,0.61,3.01,0.67,0.48,0.58,0.55,1.01,0.92,0.41,1.73,1.12,1.03,0.82,1.05,0.98,1.02
f_1,1.01,0.55,2.92,0.66,0.57,0.52,0.7,0.76,0.77,0.88,0.92,0.49,1.01,1.04,0.86,1.0
c_1,0.61,0.61,0.7,3.14,1.09,0.4,0.79,0.87,0.88,0.29,0.62,0.68,0.97,1.01,0.93,0.79
b_1,0.57,0.64,0.6,0.57,3.36,1.24,0.99,0.9,0.88,0.81,0.3,0.74,0.87,0.63,0.81,0.84
a_1,0.62,0.76,0.53,0.6,0.54,4.78,0.86,1.03,0.86,0.91,1.1,1.29,1.1,0.36,0.95,1.19
h_1,0.71,0.69,1.1,0.72,0.58,0.82,3.14,1.39,1.1,1.06,1.19,1.07,0.74,1.08,1.09,1.44
g_1,0.56,1.17,0.73,0.74,0.7,0.55,1.17,3.32,0.83,1.38,1.12,1.72,1.11,0.92,1.29,0.68
d_0,0.66,0.46,0.78,1.55,0.66,0.59,1.08,1.11,2.24,0.88,1.19,1.23,1.29,1.05,1.34,1.05
c_0,0.75,0.88,0.76,0.45,0.62,0.79,1.21,1.25,0.97,2.19,2.37,1.28,1.28,1.17,1.42,1.09
b_0,0.65,0.88,0.82,0.83,0.4,0.69,1.15,1.19,1.02,1.07,2.62,1.39,1.17,2.33,1.25,1.09
f_0,0.64,0.94,0.44,0.86,0.61,0.84,1.29,1.16,1.18,1.0,1.15,2.76,1.52,1.13,2.88,1.23
h_0,0.59,0.92,1.11,0.84,0.77,0.56,0.69,1.4,1.12,0.96,1.16,1.05,0.75,1.18,1.32,1.64
a_0,0.68,0.72,0.78,0.95,0.77,0.41,1.38,1.36,1.06,0.96,1.55,1.55,1.39,3.18,1.47,1.27
e_0,0.32,1.04,0.91,0.89,0.63,0.49,1.41,0.99,1.21,1.2,1.32,1.29,1.69,1.42,3.72,1.33
g_0,0.64,1.15,0.77,0.84,0.65,0.73,1.06,0.53,1.0,1.1,1.31,2.01,1.27,1.37,1.15,0.73
