,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.66,1.0,1.38,1.46,1.3,1.46,0.64,0.67,0.67,0.54,0.59,0.63,0.54,0.49,0.42,1.03
f_1,1.45,0.66,1.31,1.31,1.24,1.38,0.53,0.87,0.54,0.46,0.49,0.72,0.49,0.29,0.49,0.36
d_1,1.67,1.4,0.65,1.44,1.36,1.26,0.71,0.47,0.74,0.55,0.58,0.45,0.44,0.41,0.31,0.43
c_1,1.34,1.46,1.67,0.64,1.72,1.03,0.65,0.56,0.33,0.72,0.49,0.45,0.52,0.45,0.48,0.47
b_1,1.76,1.9,1.55,0.95,0.62,1.76,0.68,0.69,0.59,0.66,0.94,0.7,0.59,0.47,0.41,0.43
a_1,1.95,1.78,1.8,2.56,1.09,0.56,1.2,0.76,0.74,0.64,0.65,0.64,1.06,0.57,0.53,0.66
h_1,2.23,2.06,1.98,2.11,2.23,1.52,0.58,1.04,0.86,0.86,0.81,0.68,0.75,1.0,0.75,0.72
g_1,2.07,2.31,2.26,2.66,2.45,2.12,0.85,0.57,0.83,0.87,0.72,0.77,0.74,0.56,0.7,0.77
d_0,1.48,2.45,3.72,2.77,2.56,2.09,1.09,1.21,0.63,0.84,0.87,0.84,0.8,0.77,0.67,0.76
c_0,2.13,2.96,1.5,4.01,2.55,2.22,1.01,1.08,1.18,0.62,1.06,0.9,0.9,0.75,0.65,0.87
b_0,2.28,2.42,1.97,3.2,3.41,2.18,1.07,1.22,0.94,0.58,0.6,0.86,0.98,0.89,0.84,0.82
f_0,2.2,4.03,2.63,2.64,2.49,2.19,1.19,0.8,0.91,0.85,0.84,0.6,0.88,0.89,0.48,0.93
a_0,2.75,2.67,2.74,2.83,2.87,3.85,1.22,1.4,1.19,0.88,0.66,0.94,0.58,0.68,0.74,1.13
h_0,2.25,3.44,2.69,2.64,2.63,2.15,1.36,1.43,1.03,0.99,0.9,0.86,1.07,1.17,0.81,0.85
g_0,2.8,2.71,3.41,2.81,3.38,2.61,1.11,1.72,1.22,1.17,0.96,1.22,0.92,0.7,1.05,0.96
e_0,2.87,4.66,3.4,3.26,2.95,2.21,1.32,1.25,1.06,1.15,1.09,0.62,0.83,0.85,0.8,0.58
