,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.45,0.46,0.48,0.35,0.28,0.33,0.27,0.25,0.47,0.28,0.27,0.28,0.21,0.16,0.24
f_1,0.73,0.95,0.43,0.39,0.33,0.31,0.25,0.27,0.21,0.26,0.26,0.15,0.23,0.2,0.14,0.21
d_1,0.49,0.51,0.95,0.36,0.36,0.35,0.32,0.47,0.26,0.21,0.28,0.26,0.27,0.22,0.24,0.2
c_1,0.5,0.5,0.5,0.94,0.62,0.27,0.31,0.2,0.29,0.24,0.27,0.27,0.27,0.18,0.2,0.25
b_1,0.52,0.56,0.51,0.39,0.94,0.59,0.35,0.29,0.23,0.3,0.17,0.27,0.29,0.18,0.22,0.25
a_1,0.6,0.57,0.51,0.54,0.34,0.94,0.38,0.36,0.33,0.29,0.38,0.35,0.37,0.24,0.27,0.3
h_1,0.68,0.99,0.76,0.61,0.55,0.45,0.76,0.43,0.52,0.45,0.45,0.43,0.32,0.33,0.33,0.46
c_0,0.85,0.84,0.71,0.54,0.54,0.5,0.6,0.69,0.48,0.51,0.75,0.46,0.51,0.45,0.36,0.42
g_1,0.73,0.78,1.08,0.63,0.69,0.53,0.44,0.51,0.75,0.4,0.47,0.58,0.35,0.39,0.31,0.28
d_0,0.73,0.84,0.57,1.14,0.65,0.49,0.5,0.44,0.48,0.65,0.49,0.4,0.49,0.36,0.34,0.46
b_0,0.83,0.9,0.94,0.69,0.56,0.38,0.54,0.46,0.45,0.49,0.67,0.45,0.44,0.71,0.36,0.41
f_0,0.66,0.69,0.92,0.86,0.69,0.52,0.56,0.55,0.43,0.57,0.48,0.68,0.5,0.44,0.61,0.39
h_0,0.96,1.11,0.93,0.77,0.67,0.48,0.46,0.49,0.63,0.52,0.57,0.41,0.39,0.36,0.35,0.5
a_0,0.88,0.95,1.0,0.92,0.71,0.32,0.64,0.59,0.47,0.62,0.39,0.47,0.6,0.66,0.39,0.44
e_0,0.64,1.24,0.76,0.84,0.64,0.61,0.67,0.66,0.56,0.55,0.62,0.49,0.59,0.47,0.65,0.46
g_0,0.83,0.87,1.26,0.83,0.67,0.52,0.5,0.59,0.44,0.48,0.57,0.68,0.48,0.42,0.39,0.39
