,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.77,1.05,1.18,0.95,1.03,1.04,1.4,1.09,1.06,1.2,1.16,1.01,1.04,1.17,0.94
f_1,1.31,1.0,0.91,0.97,0.9,0.94,0.87,0.97,0.91,1.1,0.81,0.9,0.83,0.89,0.99,0.77
d_1,0.96,1.1,1.0,0.9,1.06,0.88,0.98,1.16,1.25,0.89,1.04,0.96,1.08,0.99,0.88,0.97
c_1,0.84,1.03,1.1,1.0,1.22,1.13,1.03,0.74,0.74,0.88,0.82,1.03,0.96,1.04,1.07,1.17
b_1,1.06,1.12,0.94,0.83,1.0,1.24,1.03,0.99,0.96,0.95,0.92,0.99,1.02,1.01,0.88,0.94
a_1,0.97,1.06,1.14,0.89,0.82,1.0,1.23,0.95,1.02,1.15,1.33,0.94,1.16,1.13,0.99,0.93
h_1,0.98,1.14,1.0,1.01,0.96,0.8,1.0,0.9,0.93,1.19,0.96,0.89,0.98,0.99,1.15,0.97
d_0,0.72,1.0,0.88,1.39,1.0,1.04,1.12,1.0,0.94,1.14,1.07,1.08,1.21,0.96,0.99,1.1
c_0,1.01,1.03,0.81,1.22,0.91,0.88,1.04,1.04,1.0,1.04,1.36,1.03,1.09,1.16,1.09,1.22
g_1,0.92,0.91,1.18,1.17,1.03,0.87,0.83,0.85,1.0,1.0,1.02,1.03,0.91,1.02,1.03,1.03
b_0,0.84,1.18,0.9,1.19,1.12,0.78,1.06,1.03,0.72,1.01,1.0,1.07,1.06,1.27,0.99,1.01
f_0,0.84,1.1,1.03,1.06,0.99,1.04,1.17,0.96,0.99,0.95,0.93,1.0,1.1,0.96,0.8,1.55
h_0,0.98,1.26,0.99,1.02,0.96,0.83,1.03,0.88,0.93,1.12,0.93,0.86,1.0,0.98,1.12,1.04
a_0,0.94,1.03,1.08,0.86,0.99,1.0,0.99,1.01,0.93,0.92,0.84,1.14,1.06,1.0,1.26,1.28
g_0,0.89,0.98,1.17,0.95,1.08,0.95,0.89,0.98,0.87,0.94,1.0,1.21,0.89,0.75,1.0,1.01
e_0,0.96,1.3,0.97,0.93,1.02,1.08,1.06,0.95,0.77,1.02,0.93,0.67,0.94,0.81,0.95,1.0
