,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.71,1.0,1.36,1.03,0.98,1.19,1.43,1.03,0.88,1.18,1.16,1.05,1.15,0.92,1.12
f_1,1.42,1.0,0.87,0.88,0.93,0.78,0.82,1.01,1.02,1.02,0.95,0.85,0.88,0.75,1.12,0.98
d_1,1.0,1.15,1.0,0.92,0.99,0.9,0.98,0.95,0.86,1.29,0.96,1.11,0.98,1.07,0.93,0.78
c_1,0.75,1.11,1.09,1.0,1.42,0.95,1.02,0.71,0.91,0.81,0.96,0.79,1.03,0.93,0.83,1.07
b_1,0.95,1.09,1.01,0.7,1.0,1.59,1.04,0.99,0.97,1.17,0.97,1.12,1.11,1.07,0.9,1.06
a_1,1.01,1.28,1.09,1.07,0.64,1.0,1.05,1.09,1.07,0.87,0.91,1.27,1.13,1.2,1.26,1.06
h_1,0.89,1.18,1.03,0.95,0.94,0.97,1.0,0.88,1.28,0.96,0.97,0.93,0.9,0.94,0.94,1.22
d_0,0.7,0.94,1.03,1.4,1.04,0.93,1.12,1.0,1.19,0.78,1.06,1.04,0.96,1.06,1.13,1.15
g_1,0.99,0.96,1.21,1.09,1.0,1.0,0.8,0.82,1.0,0.98,1.28,0.84,0.83,0.87,0.87,1.01
c_0,1.12,0.97,0.79,1.2,0.8,1.24,1.08,1.28,1.02,1.0,1.02,1.37,1.02,0.96,1.09,1.07
f_0,0.82,1.04,1.09,1.06,1.05,0.97,1.03,0.93,0.84,0.94,1.0,1.02,0.96,1.47,1.07,0.8
b_0,0.9,1.11,0.87,1.34,0.86,0.76,1.05,0.93,1.21,0.7,0.94,1.0,1.0,1.1,1.45,1.09
h_0,0.94,1.1,1.03,1.0,0.88,0.89,1.11,1.02,1.24,0.93,1.02,1.02,1.0,0.84,0.98,1.16
e_0,0.94,1.31,0.93,1.06,0.85,0.9,1.1,1.02,1.14,1.03,0.69,0.93,1.22,1.0,1.27,1.04
a_0,1.07,0.93,1.05,1.2,1.08,0.83,1.06,0.92,1.15,0.96,0.9,0.69,1.03,0.76,1.0,0.92
g_0,0.91,1.04,1.24,0.94,0.96,0.94,0.83,0.89,1.03,1.0,1.27,0.91,0.87,0.91,1.11,1.0
