,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,12.74,0.61,0.57,0.6,1.79,0.62,0.88,0.87,0.81,0.35,0.98,0.51,1.08,0.95,0.76,0.9
f_1,0.63,13.06,0.71,1.52,0.51,0.5,0.9,0.8,0.94,0.89,0.43,0.99,0.79,0.53,1.03,0.78
d_1,0.48,0.77,15.35,0.58,0.59,0.56,1.03,0.98,0.49,2.71,1.13,1.72,1.04,1.19,1.05,1.07
e_1,0.89,0.62,0.53,14.51,0.64,0.61,0.79,0.93,2.52,0.78,1.01,0.9,0.96,0.61,0.96,1.07
b_1,0.65,0.62,0.65,0.58,13.87,1.79,0.91,0.75,0.79,0.77,0.88,0.51,1.01,0.89,0.73,0.85
a_1,0.81,0.8,0.56,0.54,0.55,22.95,0.93,1.1,0.96,1.0,1.17,0.94,1.02,1.34,0.73,0.96
h_1,0.72,1.21,0.88,0.66,0.54,0.77,3.61,1.44,0.83,1.11,1.13,1.17,0.73,1.03,1.12,1.56
g_1,0.66,0.62,1.84,0.53,0.59,0.58,1.27,4.37,0.86,1.12,2.35,1.0,0.95,1.44,0.97,0.89
d_0,2.25,0.72,0.44,0.71,0.79,0.74,0.9,0.95,2.28,0.55,1.09,0.9,0.96,0.98,1.14,1.08
c_0,0.61,0.88,0.99,0.65,0.44,0.62,1.28,1.28,1.05,2.73,1.22,3.9,1.43,1.37,1.45,1.39
f_0,0.83,0.48,1.1,0.59,0.8,0.82,1.29,1.16,0.89,1.19,2.7,1.37,1.2,3.33,1.13,1.26
b_0,0.71,1.06,0.94,0.72,0.4,0.49,1.19,1.07,1.15,1.11,0.86,2.64,1.44,1.24,3.18,1.29
h_0,0.74,1.13,0.83,0.72,0.65,0.67,0.8,1.71,1.03,1.05,1.17,1.11,0.79,1.19,1.39,1.71
e_0,0.82,1.07,0.95,0.41,0.75,0.87,1.35,1.22,0.85,0.91,1.31,0.96,1.53,3.66,1.13,1.27
a_0,0.71,0.81,1.12,0.7,0.69,0.45,1.24,1.15,0.97,0.97,0.78,1.11,1.09,1.07,3.23,1.16
g_0,0.78,0.56,1.72,0.53,0.71,0.52,1.0,0.67,0.91,1.32,1.95,1.31,1.23,1.32,1.25,0.93
