,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,94.59,61.07,88.57,122.08,161.36,456.78,10672.93,16828.02,32857.54,26692.25,42936.27,44751.59,117381.8,135575.94,258516.33,216091.11
f_1,80.66,102.19,86.32,92.28,141.93,476.74,8389.45,16887.92,20360.89,22291.38,41111.17,28299.52,103143.02,122794.71,192551.07,182487.75
d_1,49.85,59.03,141.25,74.92,122.88,433.66,9695.05,13637.38,15021.24,35338.82,40653.35,38138.66,104666.52,112101.4,194014.93,209619.52
c_1,42.74,52.09,79.41,144.09,233.84,387.95,8562.08,15019.83,15189.95,16141.24,24477.62,34431.49,93204.93,108114.56,174318.48,192852.21
b_1,39.65,51.15,71.44,53.47,221.25,617.19,7000.38,12028.61,12145.61,20321.26,22999.32,29161.24,85999.22,80496.0,159635.73,159933.89
a_1,29.57,31.62,52.47,46.63,71.18,568.78,5642.14,8128.0,10838.68,14564.6,20489.91,22497.1,67118.7,52299.24,125058.88,130427.83
h_1,12.86,19.0,21.97,22.79,39.36,96.02,3371.91,5078.44,4701.6,5251.08,9896.2,8868.03,24482.94,33104.49,66359.2,51276.23
g_1,10.31,11.64,25.83,18.19,29.49,99.75,1936.85,5238.64,3231.5,4496.33,7867.73,10987.34,21119.52,25106.77,42697.15,52573.71
d_0,9.13,11.82,14.56,29.04,37.01,86.05,1946.18,3304.97,4972.99,4165.93,7448.77,7681.65,26633.64,24925.39,47765.79,48671.51
c_0,10.65,13.12,14.47,16.94,23.42,92.78,1891.61,3315.91,4162.9,6098.75,12306.89,7218.6,22462.43,25174.74,45219.16,50108.08
b_0,9.17,10.52,14.64,19.05,19.75,54.63,1740.01,3062.73,3329.07,3440.6,8656.05,6825.55,17206.6,35084.72,38022.87,40051.68
f_0,7.96,8.97,15.13,16.1,25.02,75.34,1735.87,2643.05,3136.27,4220.42,6514.61,9011.24,20762.25,23245.35,39778.8,62661.46
h_0,6.85,9.59,11.31,10.92,18.5,53.34,992.53,2501.54,1950.36,2896.1,4946.5,4480.5,11075.17,14668.87,37388.51,26172.4
a_0,5.83,7.11,10.91,11.91,16.21,40.87,1134.98,1878.41,2261.08,2794.41,4101.76,4788.87,14203.98,21327.58,25925.42,23988.41
g_0,5.1,6.39,11.59,8.97,13.19,46.49,836.57,1485.88,1544.04,2286.97,4068.05,4968.46,9695.17,13425.74,20740.51,22848.01
e_0,3.88,6.2,8.8,9.01,15.35,44.97,1017.4,1597.6,1751.04,2322.17,3618.1,3180.86,11467.43,13244.24,21113.63,31743.3
