,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,0.85,1.01,0.86,0.7,0.56,0.55,0.41,0.39,0.44,0.43,0.38,0.32,0.39,0.38
f_1,1.28,1.0,0.91,0.83,0.75,0.66,0.41,0.41,0.37,0.42,0.38,0.36,0.25,0.31,0.29,0.2
d_1,1.18,1.09,1.0,0.86,0.8,0.73,0.54,0.39,0.58,0.38,0.41,0.41,0.37,0.29,0.26,0.33
c_1,0.99,1.2,1.17,1.0,1.31,0.66,0.55,0.34,0.35,0.41,0.36,0.38,0.31,0.38,0.32,0.31
b_1,1.16,1.33,1.25,0.77,1.0,1.21,0.58,0.53,0.58,0.52,0.41,0.34,0.44,0.3,0.34,0.36
a_1,1.43,1.51,1.38,1.52,0.82,1.0,0.69,0.68,0.54,0.67,0.61,0.49,0.47,0.52,0.47,0.42
h_1,1.87,2.48,1.77,1.83,1.73,1.34,1.0,0.91,0.75,1.02,0.8,0.76,0.81,0.55,0.77,0.61
d_0,1.79,2.36,2.47,2.95,2.01,1.56,1.12,1.0,0.88,0.96,0.99,0.92,0.81,0.64,0.75,0.67
c_0,2.47,2.63,1.61,2.9,1.77,1.92,1.35,1.22,1.0,0.91,1.35,0.98,0.89,0.89,0.76,0.74
g_1,2.56,2.42,2.62,2.43,1.97,1.49,0.98,1.09,1.07,1.0,1.0,1.13,0.65,0.74,0.68,0.85
b_0,2.25,2.56,2.48,2.94,2.51,1.61,1.3,1.02,0.71,1.05,1.0,0.87,0.83,1.05,0.79,0.89
f_0,2.19,2.79,2.49,2.63,2.93,2.17,1.32,1.17,1.04,0.9,1.04,1.0,1.05,0.82,0.63,1.15
h_0,2.61,3.89,2.69,3.06,2.3,2.15,1.22,1.26,1.13,1.48,1.27,0.91,1.0,0.8,1.04,0.87
a_0,3.03,3.31,3.42,2.85,3.38,2.13,1.81,1.56,1.2,1.39,0.92,1.17,1.21,1.0,0.85,1.03
g_0,2.7,3.27,3.76,3.1,3.21,2.16,1.34,1.28,1.31,1.52,1.34,1.46,0.98,1.24,1.0,1.21
e_0,2.8,4.7,2.84,3.12,3.1,2.37,1.67,1.45,1.33,1.2,1.18,0.87,1.13,0.98,0.83,1.0
