,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.43,4.19,3.6,2.74,3.3,3.43,1.52,1.85,2.15,2.14,1.25,,1.0,,1.4,1.7
e_1,2.14,0.42,4.1,3.31,4.03,4.56,1.88,1.66,1.39,2.31,1.55,1.75,1.64,,1.67,1.47
c_1,3.51,3.54,0.39,4.76,3.93,4.76,2.25,0.92,,1.82,1.77,1.18,1.51,1.56,1.6,1.4
d_1,4.27,3.66,3.38,0.39,3.43,3.75,1.67,,1.83,1.23,1.78,1.58,1.9,1.23,1.53,0.79
b_1,3.38,4.37,2.2,3.54,0.37,4.07,2.09,1.77,1.6,1.82,,1.57,1.36,1.5,,1.18
a_1,4.09,2.89,3.51,4.56,1.94,0.31,2.16,1.82,1.64,2.01,,2.06,1.23,,,1.35
h_1,1.61,1.88,1.74,2.23,1.54,1.53,0.26,0.89,0.57,1.57,0.74,0.77,,1.05,1.04,0.71
d_0,1.47,1.18,1.84,,1.71,1.42,0.81,0.3,0.75,0.88,0.95,0.65,0.55,0.55,0.61,0.71
c_0,1.47,1.92,,1.07,1.72,1.44,1.1,0.7,0.28,0.7,0.75,0.88,0.47,0.68,0.89,0.56
g_1,1.71,2.09,1.69,2.1,2.47,1.51,0.64,0.92,0.8,0.23,0.9,1.11,0.52,,,
b_0,2.33,1.51,1.85,1.58,,,0.81,0.61,0.54,0.85,0.26,0.73,0.5,,0.71,0.7
f_0,,1.48,1.67,1.52,1.64,1.46,0.74,0.82,0.65,0.56,0.73,0.25,0.86,0.85,,0.39
h_0,1.52,1.19,1.12,1.02,1.2,1.43,,0.56,0.63,0.7,0.54,0.56,,0.6,0.5,0.55
e_0,,,1.41,1.71,1.36,,0.78,0.62,0.89,,,0.33,0.68,0.21,,0.66
a_0,1.87,1.52,1.6,1.53,,,0.78,0.88,0.68,,0.47,,0.55,,0.21,
g_0,1.26,1.18,1.47,1.58,1.9,1.26,0.56,0.62,0.54,,0.52,0.68,0.39,0.49,,
