,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.73,0.85,1.03,0.75,0.78,0.68,0.87,1.55,0.99,0.87,1.01,1.04,0.93,1.05,0.75,0.89
f_1,1.29,1.76,0.79,0.78,0.65,0.67,0.89,1.02,0.9,0.95,0.99,0.74,0.91,1.0,0.63,0.93
c_1,0.72,0.82,1.86,0.77,1.4,0.75,0.89,0.9,0.84,0.55,0.64,0.91,0.96,0.82,1.0,0.97
d_1,0.85,0.86,0.63,2.0,0.7,0.76,1.0,0.7,1.13,1.73,1.3,1.06,1.02,1.18,1.06,1.03
b_1,0.68,0.83,0.8,0.8,2.13,1.64,1.03,0.83,0.86,0.93,0.67,0.93,1.06,0.69,0.99,1.02
a_1,0.79,0.95,0.89,0.83,0.74,2.9,1.07,0.87,0.82,0.86,1.09,0.94,1.09,0.71,1.12,0.94
h_1,0.74,1.1,0.93,0.96,0.85,0.7,1.8,0.84,1.23,0.8,0.99,0.95,0.96,1.03,1.15,1.3
d_0,0.83,0.82,1.45,0.56,1.01,0.81,1.13,1.43,0.91,0.66,0.87,0.98,1.05,0.91,1.14,1.06
g_1,0.8,0.73,0.8,1.42,0.83,0.64,1.1,0.78,2.13,1.15,1.07,1.6,0.9,1.13,1.21,0.96
c_0,1.0,0.9,0.79,1.0,0.62,0.75,1.09,1.04,1.08,1.52,1.75,1.07,1.08,1.39,1.11,1.09
b_0,0.84,0.86,1.02,1.03,0.68,0.57,1.0,1.01,1.06,1.05,1.62,1.11,1.09,1.9,1.3,1.19
f_0,0.78,0.81,0.96,1.01,0.89,0.8,1.23,1.03,1.22,1.09,1.15,1.79,1.18,1.14,2.1,1.1
h_0,0.83,1.11,0.83,1.11,0.67,0.67,0.87,0.84,1.25,1.04,1.09,1.18,0.9,1.0,1.15,1.42
a_0,0.93,0.85,0.89,1.06,0.91,0.51,0.99,1.08,1.09,1.07,1.03,1.06,1.02,1.89,1.12,1.05
e_0,0.71,0.99,0.99,0.89,0.88,0.83,1.27,0.87,1.18,0.97,1.06,1.14,1.3,1.06,2.07,1.2
g_0,0.76,0.92,0.85,1.29,0.81,0.79,0.97,0.81,0.91,1.08,1.06,1.47,1.32,0.96,1.38,0.99
