,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.73,1.25,0.76,0.81,0.67,0.67,0.94,0.88,0.8,0.99,0.89,0.64,0.94,0.91,0.83,0.72
e_1,0.91,1.73,0.63,1.03,0.76,0.73,0.99,0.94,0.9,1.61,1.02,0.93,1.0,1.05,0.9,0.71
d_1,0.87,0.78,1.9,0.68,0.71,0.73,0.99,1.0,1.69,0.67,1.23,1.1,1.02,1.04,1.05,1.02
c_1,0.77,0.73,0.86,1.97,1.4,0.75,0.94,0.96,0.61,0.87,0.72,1.02,0.95,1.0,0.88,0.96
b_1,0.78,0.74,0.95,0.76,2.28,1.55,0.94,0.9,0.89,0.88,0.71,0.89,0.93,0.77,1.08,0.99
a_1,0.82,0.8,0.98,0.75,0.82,3.02,0.94,0.93,1.0,0.8,1.06,0.99,1.1,0.7,1.2,1.17
h_1,1.04,0.85,0.98,0.86,0.86,0.76,1.67,1.27,0.94,0.89,1.03,1.11,0.92,0.93,1.36,1.07
g_1,0.83,0.77,1.21,0.88,0.86,0.82,0.93,2.05,0.94,0.76,0.98,1.36,0.99,0.95,0.79,1.23
c_0,0.99,0.89,0.91,0.76,0.69,0.79,1.15,1.09,1.55,0.92,1.86,1.28,1.2,1.37,1.23,1.3
d_0,0.86,0.79,0.68,1.47,0.99,0.81,0.93,0.96,0.76,1.44,0.92,1.14,1.04,0.83,0.92,1.05
b_0,1.03,0.92,0.79,0.88,0.65,0.62,1.17,1.12,1.04,1.08,1.63,1.19,1.3,2.0,1.21,1.35
f_0,0.76,0.7,1.0,0.99,0.92,1.02,1.15,1.08,1.12,1.04,1.13,1.8,1.04,1.11,1.02,2.3
h_0,1.13,0.85,0.92,0.87,0.68,0.82,0.86,1.26,1.03,0.91,1.04,0.99,0.77,1.05,1.33,0.99
a_0,0.96,0.81,0.95,0.92,0.91,0.68,1.17,1.06,1.04,1.06,0.88,1.19,1.13,1.91,1.11,1.26
g_0,0.8,0.77,1.31,0.86,0.73,0.76,0.99,0.92,1.18,0.9,1.12,1.58,1.14,1.08,0.95,1.13
e_0,0.93,0.7,0.98,0.92,0.82,0.96,1.0,0.92,0.94,1.02,1.19,1.22,1.15,1.1,1.15,2.25
