,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,11.69,1.78,0.57,0.71,0.47,0.6,0.82,0.88,0.8,0.95,0.96,0.51,1.02,0.57,0.84,0.8
e_1,0.7,12.21,0.56,0.94,0.56,0.57,0.96,0.95,0.72,2.47,1.07,1.16,1.03,0.69,0.99,0.97
d_1,0.66,0.53,15.02,0.46,0.7,0.68,0.89,0.89,2.65,0.44,1.12,1.08,0.95,1.21,0.93,0.94
c_1,0.64,0.54,0.58,14.47,1.67,0.71,0.89,0.95,0.37,0.88,0.63,0.86,0.83,0.77,0.8,0.91
b_1,0.77,0.51,0.7,0.57,15.42,1.38,0.9,0.81,0.89,0.8,0.58,1.05,1.0,0.9,0.78,0.88
a_1,0.79,0.48,0.73,0.69,0.7,24.4,1.22,0.7,1.11,0.75,1.03,0.73,0.94,1.34,0.69,0.98
h_1,1.17,0.66,0.8,0.74,0.79,0.67,3.65,1.35,0.76,0.77,0.9,1.07,0.68,0.98,1.29,1.8
g_1,0.58,0.57,1.5,0.66,0.73,0.68,1.07,4.47,1.02,0.83,1.09,2.23,1.02,1.15,1.07,0.89
c_0,0.76,0.85,0.84,0.58,0.47,0.74,1.13,1.26,2.26,1.18,3.65,1.33,1.3,1.32,1.65,1.27
d_0,0.69,0.74,0.49,2.66,0.73,0.6,1.03,0.95,0.52,2.24,0.97,0.96,1.12,1.21,0.95,1.32
b_0,0.78,0.71,0.86,0.82,0.52,0.59,1.15,1.29,1.02,1.14,2.49,1.22,1.41,1.47,3.44,1.35
f_0,0.39,0.5,1.18,0.92,0.85,0.77,1.01,1.23,1.26,1.08,1.25,2.88,1.39,3.48,1.43,1.38
h_0,1.04,0.87,0.95,0.92,0.51,0.68,0.73,1.79,1.09,1.01,1.09,0.97,0.67,0.94,1.12,1.55
e_0,1.03,0.5,0.93,0.68,0.71,0.9,1.33,1.15,1.14,0.79,1.24,0.83,1.41,3.82,1.36,1.48
a_0,0.74,0.7,0.98,0.76,0.59,0.46,1.13,1.18,1.27,0.93,1.22,1.41,1.5,1.29,3.44,1.63
g_0,0.49,0.64,1.75,0.89,0.61,0.67,0.93,0.96,1.15,0.81,1.28,2.29,1.26,1.58,1.32,0.81
