,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.98,1.01,0.89,1.37,0.67,0.73,0.7,0.47,0.47,0.66,0.52,0.63,0.56,0.5,0.53
f_1,1.02,1.0,1.0,1.29,0.85,0.69,0.6,0.73,0.64,0.6,0.54,0.58,0.48,0.38,0.55,0.56
d_1,0.98,1.0,1.0,1.0,0.98,0.88,0.74,0.55,0.69,0.84,0.6,0.71,0.58,0.61,0.54,0.46
e_1,1.12,0.78,1.0,1.0,1.01,0.93,0.71,0.74,0.93,0.65,0.71,0.63,0.65,0.74,0.61,0.67
b_1,0.73,1.17,1.03,0.99,1.0,1.4,0.87,0.69,0.71,0.72,0.64,0.63,0.63,0.55,0.59,0.57
a_1,1.49,1.44,1.13,1.07,0.72,1.0,0.77,0.96,0.81,0.79,0.71,0.83,0.7,0.84,0.7,0.77
h_1,1.4,1.61,1.35,1.41,1.21,1.26,1.0,1.09,0.95,0.9,0.8,0.87,0.8,0.67,0.76,0.95
g_1,1.42,1.42,1.81,1.35,1.47,1.06,0.9,1.0,0.95,0.89,1.25,0.89,0.7,0.91,0.81,0.86
d_0,2.17,1.49,1.49,1.06,1.49,1.18,1.06,1.0,1.0,0.76,1.14,0.87,0.84,0.98,0.94,0.9
c_0,2.05,1.59,1.16,1.51,1.27,1.27,1.15,1.1,1.22,1.0,1.01,1.44,0.99,1.09,0.99,0.92
f_0,1.64,1.72,1.69,1.36,1.56,1.35,1.19,0.81,0.98,1.02,1.0,1.14,0.96,1.44,1.08,0.77
b_0,1.91,1.81,1.42,1.56,1.58,1.2,1.14,1.09,1.11,0.74,0.86,1.0,1.03,0.96,1.42,0.95
h_0,1.58,2.06,1.74,1.62,1.5,1.35,1.26,1.45,1.19,1.07,1.13,0.95,1.0,0.97,0.99,1.1
e_0,1.73,2.66,1.72,1.53,1.78,1.23,1.37,1.07,1.01,0.89,0.73,1.02,1.11,1.0,0.95,0.96
a_0,1.9,1.75,1.86,1.65,1.68,1.56,1.23,1.28,1.08,0.99,0.93,0.71,1.0,0.98,1.0,1.05
g_0,1.94,1.72,2.08,1.5,1.71,1.33,1.03,1.14,1.1,1.13,1.33,1.07,0.9,0.99,1.02,1.0
