,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.43,1.17,1.16,0.98,1.15,1.05,2.09,1.94,3.87,1.79,3.0,2.68,3.32,3.16,2.5,2.28
e_1,0.96,2.44,0.99,1.39,1.15,1.21,2.51,2.38,2.66,4.09,2.91,2.8,3.03,3.12,2.58,1.8
f_1,1.14,1.79,2.48,1.13,0.89,1.04,2.15,1.84,1.95,2.28,2.35,1.71,2.56,2.52,2.17,2.18
c_1,1.08,0.96,1.18,2.58,1.83,1.02,2.39,2.27,1.43,2.04,1.45,2.04,3.12,3.31,2.41,2.93
b_1,1.17,1.12,1.32,0.96,2.74,1.92,1.78,2.02,2.13,2.37,1.69,2.51,3.06,3.15,1.78,2.39
a_1,1.28,1.16,1.18,1.21,0.94,3.3,2.09,2.06,2.55,2.4,2.79,3.01,3.42,2.6,2.35,2.48
h_1,1.39,0.89,1.5,1.15,1.41,1.1,4.05,3.31,2.83,2.52,2.41,2.65,2.3,4.3,2.91,3.21
g_1,1.93,1.0,1.29,1.1,1.27,1.25,2.01,4.43,2.34,1.8,2.52,3.44,2.68,2.41,3.09,2.87
c_0,1.21,1.3,1.49,0.97,1.05,1.16,2.55,2.78,3.94,2.96,4.66,2.68,3.89,3.59,3.52,3.01
d_0,0.89,0.99,1.46,2.13,1.21,1.06,2.74,2.82,2.07,3.94,2.4,2.93,3.55,3.61,3.0,3.09
b_0,1.31,1.13,1.43,1.66,0.78,0.92,2.48,2.56,2.25,3.29,4.19,2.58,3.58,3.21,6.0,2.71
f_0,1.47,1.17,0.89,1.51,1.17,1.05,2.64,2.32,2.75,2.9,2.89,4.34,3.64,3.05,2.88,4.66
h_0,1.25,1.25,1.81,1.32,1.17,0.97,1.93,3.25,2.49,2.61,2.83,2.45,2.57,4.35,2.09,3.05
g_0,1.65,1.21,1.32,1.19,1.07,1.39,2.13,2.03,2.68,2.55,2.67,4.11,2.9,2.81,3.06,3.23
a_0,1.33,1.11,1.39,1.54,1.57,0.56,2.21,2.49,2.3,2.56,2.0,2.87,4.49,3.19,5.07,2.99
e_0,1.54,0.83,1.47,1.18,1.38,1.05,2.44,2.49,2.79,2.55,3.0,2.37,3.71,2.92,3.15,5.15
