,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,1.97,1.42,2.31,2.23,1.51,1.02,0.85,1.03,0.84,0.69,0.84,0.62,0.73,1.83,0.73
d_1,2.81,0.66,2.13,1.95,1.9,1.87,0.88,1.65,0.63,0.81,0.67,0.78,0.5,0.69,0.75,0.46
f_1,2.44,1.96,0.66,2.12,1.87,1.86,0.72,0.77,1.02,0.65,0.81,1.57,0.54,0.74,0.65,0.57
c_1,1.87,2.54,2.15,0.65,2.88,1.69,0.99,0.51,0.84,1.51,0.67,0.76,0.56,0.64,0.83,0.77
b_1,2.22,2.38,2.38,1.28,0.62,2.87,1.06,1.01,1.11,0.89,2.01,0.86,0.84,0.79,0.97,0.63
a_1,3.44,2.78,2.86,2.86,1.42,0.57,1.14,0.89,1.15,1.14,1.3,0.87,0.7,2.27,0.94,0.73
h_1,2.4,2.75,3.01,2.59,2.46,2.68,0.6,0.88,1.32,0.94,0.88,0.81,1.3,0.89,0.72,0.72
d_0,1.74,4.32,2.89,3.27,2.64,3.45,1.58,0.68,1.37,1.02,0.99,1.0,0.91,0.89,0.7,0.88
g_1,2.8,3.12,3.1,3.24,2.43,2.71,1.11,1.01,0.57,0.98,1.17,0.96,0.65,0.82,0.78,1.21
c_0,2.8,1.76,3.36,7.7,2.83,2.48,1.65,1.32,1.3,0.65,1.28,0.95,1.25,1.01,0.86,0.74
b_0,3.07,3.23,2.83,3.8,4.97,2.8,1.22,1.04,1.46,0.72,0.64,0.89,1.08,1.07,0.78,0.78
f_0,2.67,2.63,5.93,3.43,3.09,3.16,1.49,1.29,0.97,1.04,1.05,0.62,1.03,1.19,1.35,0.74
h_0,3.22,3.5,3.26,4.13,3.03,3.39,3.21,1.19,2.21,1.01,0.99,1.24,1.46,0.9,0.89,0.92
a_0,3.14,3.8,3.3,3.59,5.3,,1.62,1.44,1.98,1.2,0.75,1.21,1.04,0.62,1.02,1.14
e_0,3.99,3.51,4.43,3.78,3.67,3.69,1.55,1.58,1.88,1.38,1.55,0.71,1.14,1.18,0.59,1.11
g_0,3.7,3.4,4.13,3.09,3.84,3.52,1.71,1.51,2.77,1.43,1.54,1.55,0.87,1.37,1.01,1.77
