,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,11.19,0.69,0.56,0.83,0.65,0.7,0.91,0.98,0.94,2.05,0.9,1.02,0.98,1.04,0.61,0.98
f_1,1.67,12.7,0.54,0.68,0.55,0.56,0.84,0.75,0.73,0.89,0.49,0.91,0.98,0.84,0.64,0.74
d_1,0.56,0.63,14.9,0.45,0.6,0.73,1.08,0.95,2.54,0.55,1.12,1.38,1.03,0.9,1.08,1.17
c_1,0.52,0.55,0.68,14.71,1.77,0.62,0.93,0.84,0.36,0.81,0.97,0.55,0.94,0.88,0.99,0.86
b_1,0.51,0.72,0.67,0.72,15.7,1.48,0.84,0.96,0.75,0.73,0.99,0.41,0.59,1.01,0.84,0.8
a_1,0.77,0.68,0.71,0.64,0.5,21.61,1.05,0.94,0.97,1.03,1.06,1.02,0.64,1.3,1.32,1.07
h_1,0.61,1.27,0.77,0.81,0.68,0.71,3.46,1.41,0.95,0.94,0.88,1.31,0.99,0.76,1.11,1.56
g_1,0.62,0.64,1.48,0.81,0.78,0.56,0.77,4.15,1.06,0.84,1.88,1.02,0.91,1.23,1.03,0.88
c_0,0.66,0.97,1.04,0.6,0.5,0.69,1.21,1.05,2.48,0.96,1.22,3.52,1.43,1.35,1.56,1.36
d_0,0.62,0.8,0.5,2.14,0.83,0.44,0.96,1.07,0.66,2.2,1.0,1.02,1.17,1.31,1.33,0.86
f_0,0.53,0.55,1.02,0.87,0.65,0.76,1.14,1.07,1.32,1.29,3.1,1.28,1.24,1.16,3.73,1.38
b_0,0.69,0.95,0.84,0.97,0.41,0.52,1.1,1.09,1.13,1.21,1.34,3.09,3.08,1.25,1.24,1.57
a_0,0.65,1.03,0.94,0.85,0.6,0.43,1.31,1.17,1.07,0.99,1.24,1.06,3.79,1.2,1.06,1.18
h_0,0.67,1.39,0.9,0.62,0.64,0.78,0.67,1.52,1.02,0.89,0.99,0.94,1.04,0.87,0.86,1.67
e_0,0.55,1.02,0.83,0.72,0.9,0.55,1.17,0.97,1.11,1.0,1.35,1.43,1.43,1.1,3.55,1.28
g_0,0.61,0.59,1.9,0.74,0.64,0.66,0.94,0.73,1.02,0.87,2.02,1.34,1.23,1.06,1.32,0.92
