,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,93.4,48.49,54.2,61.76,69.93,192.0,5019.61,8148.45,10075.44,15994.22,22316.05,10696.52,64122.37,56775.68,79506.09,100503.68
e_1,31.71,96.29,42.23,47.12,73.91,183.66,5038.19,16930.16,13451.84,15574.57,29419.4,32386.6,84263.58,47577.42,104269.98,145101.01
c_1,24.29,28.05,129.83,63.78,118.57,188.32,4225.51,7093.64,9735.05,5554.91,16542.51,22074.93,61215.92,54272.14,58049.16,140669.36
d_1,25.99,28.2,27.89,172.98,51.96,122.96,4316.15,3492.44,8146.11,22360.65,22447.99,19944.88,72510.41,69239.64,56477.77,113861.04
b_1,22.55,22.07,25.37,53.22,202.01,287.9,3133.28,7734.32,8016.42,12260.49,8882.85,24842.36,59902.59,63417.54,43578.73,104830.14
a_1,17.35,17.05,23.38,42.23,27.54,453.35,2651.31,6414.39,6235.66,7970.01,14300.91,16421.83,49256.32,48990.81,22892.0,84704.35
h_1,11.47,8.94,13.65,18.07,25.19,51.21,2970.55,2704.35,4293.75,4853.55,6553.56,7971.8,13686.63,24708.64,20095.09,46231.67
d_0,9.18,5.66,19.86,9.98,15.98,36.2,1347.85,3970.51,3382.9,4035.35,6895.29,6720.14,21102.93,22463.88,21934.77,40577.93
g_1,7.18,5.21,9.54,20.87,19.49,39.35,1010.77,2003.12,5890.77,4137.67,5822.89,8640.69,14430.6,18824.57,18330.05,15560.16
c_0,8.03,6.67,8.69,13.63,12.23,36.73,1029.48,2126.96,2466.65,6077.91,10503.05,7168.12,16330.82,15599.33,20862.02,30653.57
b_0,6.48,5.67,9.28,11.87,9.49,33.58,1196.63,1902.96,2171.55,2531.83,8643.59,5955.69,13007.69,16083.54,25639.34,28807.8
f_0,3.67,5.01,9.96,12.05,14.66,38.14,992.94,2102.92,2033.49,2535.99,4871.53,9798.71,13969.13,22825.17,12941.42,27435.63
h_0,4.93,3.76,7.21,8.75,10.37,26.31,367.05,1320.2,1927.89,2616.2,3499.4,3651.32,7638.41,13028.77,9624.06,26699.34
e_0,4.51,1.48,9.15,6.79,10.88,24.15,740.66,1099.68,1406.32,2421.2,3070.2,4034.76,10280.82,20348.85,8915.74,21760.39
a_0,3.75,3.4,7.19,7.55,10.75,18.0,751.74,1321.54,1629.57,1924.37,3021.66,3924.18,11197.83,10060.86,21364.72,22921.36
g_0,2.76,3.08,5.32,9.6,9.9,18.65,554.33,1033.25,783.79,1674.95,2418.25,4724.61,7084.91,9785.99,6662.54,10293.62
