,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.01,2.61,1.75,2.69,2.05,1.98,8.11,18.33,8.27,9.06,11.41,10.59,13.75,11.0,8.35,15.72
f_1,3.65,6.1,1.93,2.21,1.9,2.25,6.67,10.31,7.65,9.6,10.47,6.48,15.19,9.42,8.22,13.45
d_1,1.96,2.37,6.65,1.77,2.37,2.4,8.24,6.27,9.14,19.14,12.46,11.8,17.91,12.78,13.16,15.69
c_1,2.01,1.96,2.35,6.65,3.88,2.02,7.82,9.49,7.83,6.03,8.66,10.77,16.97,10.63,12.46,14.06
b_1,2.0,2.03,2.35,2.44,7.62,4.31,7.29,9.26,7.08,9.82,7.17,9.51,13.88,8.12,11.41,16.34
a_1,2.06,2.36,2.73,2.14,2.21,10.84,9.17,11.24,8.3,10.07,12.62,11.43,16.58,7.89,10.73,16.75
h_1,2.47,3.54,2.65,2.18,1.93,2.28,17.79,11.02,10.84,9.73,12.83,10.78,14.67,13.72,10.81,21.55
d_0,2.58,2.61,1.62,4.31,2.26,2.22,9.31,17.09,8.21,7.8,11.31,11.53,16.06,9.68,11.27,16.57
g_1,2.09,2.24,3.75,2.32,2.58,2.21,9.1,10.2,21.47,10.23,10.4,18.45,17.13,13.76,13.42,13.61
c_0,2.46,2.93,2.85,1.72,1.88,2.29,10.1,11.0,8.48,20.44,22.19,13.29,17.15,14.92,15.63,18.34
b_0,2.48,2.99,2.52,2.7,1.51,2.06,9.42,11.55,9.71,10.75,19.8,11.9,19.62,26.44,13.03,17.91
f_0,2.09,2.15,3.06,2.38,2.35,2.37,11.1,11.22,9.43,10.81,14.48,22.64,17.46,15.42,26.86,20.09
h_0,2.05,3.19,2.75,2.36,2.48,2.36,7.11,10.24,12.12,11.82,13.72,13.02,13.51,12.75,13.95,22.5
a_0,2.25,2.75,2.8,2.41,2.09,2.07,10.55,11.13,11.97,12.44,13.33,12.01,20.49,28.74,15.57,19.42
e_0,1.63,2.95,2.69,2.76,2.61,2.4,11.44,11.18,8.78,10.85,13.49,13.19,22.8,14.17,28.39,20.51
g_0,2.05,1.87,3.7,2.7,2.39,2.54,10.02,9.66,6.71,10.74,14.19,18.98,18.45,11.55,15.2,16.67
