,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.26,0.21,0.26,0.17,0.17,0.11,0.49,0.39,0.94,0.09,0.58,0.51,0.58,0.46,0.41,0.61
e_1,0.17,2.28,0.23,0.24,0.19,0.2,0.38,0.35,0.47,0.93,0.48,0.45,0.63,0.49,0.09,0.51
f_1,0.22,0.4,2.3,0.24,0.2,0.14,0.33,0.31,0.45,0.4,0.48,0.12,0.62,0.31,0.29,0.34
c_1,0.25,0.24,0.21,2.48,0.36,0.16,0.47,0.33,0.08,0.46,0.31,0.47,0.54,0.21,0.21,0.61
b_1,0.24,0.2,0.24,0.18,2.63,0.33,0.47,0.35,0.46,0.42,0.14,0.42,0.38,0.25,0.48,0.55
a_1,0.22,0.25,0.25,0.2,0.13,3.07,0.39,0.43,0.42,0.56,0.43,0.58,0.74,0.13,0.46,0.55
h_1,0.39,0.31,0.52,0.35,0.35,0.3,2.77,0.81,0.84,0.89,0.77,0.81,0.26,0.56,0.87,1.19
g_1,0.69,0.34,0.21,0.45,0.34,0.28,0.56,3.09,0.76,0.53,0.76,1.08,1.01,0.86,0.73,0.41
c_0,0.48,0.45,0.43,0.18,0.31,0.29,0.66,0.7,2.16,0.9,1.61,0.83,1.24,0.92,0.75,1.04
d_0,0.11,0.38,0.46,0.77,0.37,0.25,0.74,0.7,0.69,2.27,0.7,0.87,1.02,0.64,0.77,0.86
b_0,0.53,0.47,0.47,0.3,0.09,0.25,0.75,0.61,1.03,0.8,2.49,0.73,1.11,1.67,0.68,1.22
f_0,0.5,0.31,0.13,0.41,0.37,0.39,0.95,0.86,0.97,0.79,0.79,2.39,1.2,0.73,1.55,0.87
h_0,0.51,0.37,0.57,0.4,0.41,0.15,0.22,0.78,0.84,0.75,0.59,0.59,0.31,0.82,0.49,1.12
a_0,0.46,0.37,0.45,0.41,0.31,0.11,0.91,0.63,1.19,0.88,0.84,0.89,1.15,2.62,0.74,0.94
e_0,0.53,0.12,0.43,0.46,0.33,0.31,0.94,0.61,0.94,0.95,0.83,0.77,1.2,0.77,2.93,1.04
g_0,0.75,0.32,0.37,0.34,0.29,0.29,0.72,0.31,0.85,0.7,0.62,1.26,0.91,0.68,0.59,0.38
