,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.23,0.49,1.16,0.63,0.5,0.51,0.82,0.62,0.94,0.95,0.81,0.41,0.98,0.87,0.75,0.62
d_1,0.57,17.22,0.5,0.4,0.59,0.56,0.99,0.96,2.04,0.4,1.25,1.19,0.93,1.08,1.22,1.09
e_1,0.67,0.51,16.37,0.69,0.5,0.5,0.84,0.93,0.86,2.01,0.95,1.08,1.15,0.9,0.91,0.42
c_1,0.52,0.53,0.48,19.48,1.31,0.55,0.79,0.71,0.35,0.79,0.57,0.84,0.75,0.76,0.92,0.98
b_1,0.52,0.56,0.46,0.62,19.5,1.31,0.89,0.83,0.64,0.81,0.34,0.8,0.8,0.7,0.85,1.07
a_1,0.68,0.71,0.62,0.48,0.48,24.92,0.94,0.98,0.79,0.84,1.16,0.8,1.06,0.52,0.9,0.72
h_1,1.16,0.79,0.66,0.69,0.65,0.68,4.89,1.44,1.22,0.91,1.2,1.18,0.67,1.15,1.54,1.14
g_1,0.67,1.31,0.57,0.65,0.73,0.61,1.16,5.8,1.23,0.81,1.26,2.03,1.43,1.27,0.73,1.4
c_0,0.82,0.96,0.65,0.5,0.51,0.74,1.19,1.4,3.07,1.03,3.62,1.34,1.37,1.34,1.18,1.46
d_0,0.71,0.3,0.64,2.27,0.72,0.7,1.04,1.46,0.74,2.91,1.35,1.29,1.14,1.12,1.28,1.23
b_0,0.76,1.09,0.61,0.93,0.28,0.44,1.23,1.32,1.2,1.31,3.76,1.34,1.53,3.87,1.39,1.46
f_0,0.44,0.92,0.61,0.79,0.68,0.83,1.24,1.42,1.12,1.24,1.31,3.97,1.41,1.43,1.45,3.99
h_0,0.97,0.78,0.74,0.77,0.68,0.74,0.67,1.62,1.23,1.27,1.41,1.11,0.68,1.26,1.84,1.19
a_0,0.76,0.75,0.69,0.9,0.64,0.33,1.28,1.28,1.22,1.45,1.14,1.53,1.88,4.97,1.54,1.85
g_0,0.64,1.29,0.56,0.79,0.67,0.64,1.2,0.83,1.42,1.18,1.11,2.19,1.23,1.4,0.8,1.61
e_0,0.73,0.99,0.42,0.81,0.75,0.83,1.35,1.22,1.15,1.06,1.34,1.3,1.36,1.4,1.27,5.25
