,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,5.19,6.76,5.6,5.7,4.46,2.31,2.23,2.62,2.0,2.31,,0.99,2.13,1.75,1.79
d_1,6.35,0.66,5.31,5.43,4.84,4.93,3.61,,1.93,3.16,1.83,1.9,1.65,1.84,1.72,1.26
e_1,3.63,7.77,0.66,5.2,6.09,5.73,2.15,2.8,2.87,1.86,2.18,1.96,1.85,1.7,,2.51
c_1,6.03,6.54,7.42,0.65,8.49,7.24,2.22,1.14,3.4,,1.93,2.38,1.89,2.12,1.75,1.53
b_1,6.1,6.69,6.06,3.92,0.63,6.08,3.55,2.23,2.18,2.51,,1.85,1.96,2.42,,1.68
a_1,10.03,7.51,6.07,5.74,4.62,0.58,3.57,2.67,3.15,2.99,3.14,2.13,2.18,,,1.6
h_1,4.44,4.01,6.23,6.14,3.79,4.54,0.61,1.93,2.15,1.92,1.7,1.82,,1.68,1.66,1.64
d_0,5.5,,2.95,6.39,4.85,3.96,2.36,0.71,1.64,1.55,1.56,1.48,1.36,1.79,1.54,1.64
g_1,4.89,5.63,6.19,4.23,7.11,4.89,2.03,2.55,0.58,2.14,2.21,1.93,1.18,2.34,2.18,
c_0,4.81,3.2,4.63,,5.29,5.07,1.73,1.94,2.42,0.69,2.62,1.81,1.62,1.47,1.23,1.36
b_0,4.3,5.69,5.49,6.01,,5.5,2.33,1.74,2.17,1.11,0.69,1.72,1.44,2.27,2.37,1.18
f_0,,6.49,5.89,4.85,5.44,5.28,2.24,2.4,1.77,1.75,1.99,0.65,1.59,2.34,1.81,0.91
h_0,6.95,3.94,4.15,4.36,3.79,4.3,,1.75,2.36,1.49,1.48,1.89,,1.01,1.27,1.62
a_0,7.01,5.31,6.71,6.13,7.15,,2.63,1.98,2.63,2.47,1.31,1.99,2.47,0.62,,1.52
e_0,8.71,5.9,,7.52,,,2.33,2.39,2.28,2.55,1.53,1.94,1.6,,0.6,1.84
g_0,4.9,5.4,5.31,4.68,4.65,6.06,1.73,1.55,,1.94,2.16,2.17,1.22,1.61,1.87,
