,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,36.83,0.05,0.06,0.07,0.06,0.07,0.23,0.25,0.41,0.69,0.4,0.26,0.56,0.34,,0.69
f_1,0.12,37.47,0.08,0.07,0.05,0.04,0.33,0.24,0.38,0.37,0.44,,0.57,0.3,0.27,0.39
d_1,0.06,0.07,37.66,0.06,0.06,0.06,0.37,0.32,0.61,,0.44,0.47,0.38,0.25,0.36,0.6
c_1,0.08,0.07,0.04,42.33,0.14,0.06,0.23,0.36,,0.47,0.34,0.33,0.49,0.45,0.28,0.56
b_1,0.06,0.1,0.07,0.09,52.1,0.19,0.24,0.22,0.34,0.38,,0.19,0.48,0.4,0.29,0.45
a_1,0.06,0.04,0.05,0.06,0.07,83.94,0.37,0.25,0.31,0.52,,0.37,0.95,,,0.5
h_1,0.24,0.37,0.3,0.25,0.3,0.22,26.09,1.25,1.67,0.75,1.38,1.17,,1.21,1.39,3.38
g_1,0.18,0.22,0.41,0.23,0.29,0.26,1.02,32.43,1.87,0.88,0.84,2.28,2.75,1.23,1.45,
c_0,0.36,0.32,0.36,,0.27,0.48,1.98,1.87,16.42,1.87,2.85,1.63,3.02,1.83,1.88,2.37
d_0,0.3,0.3,,0.88,0.34,0.25,1.71,1.24,1.54,16.34,1.94,2.48,2.37,1.3,2.62,3.27
b_0,0.36,0.31,0.26,0.23,,0.23,1.11,1.16,1.78,2.3,20.09,2.08,4.02,4.27,2.07,2.94
f_0,0.24,,0.34,0.34,0.27,0.26,1.69,1.08,2.37,2.57,1.94,20.91,4.26,2.18,4.24,1.45
h_0,0.51,0.89,0.57,0.41,0.43,,,2.81,2.81,2.97,2.3,3.06,,3.21,4.98,5.38
a_0,0.48,0.3,0.55,0.34,0.49,,0.99,1.23,1.66,1.11,1.4,1.71,4.38,26.96,,3.47
e_0,,0.24,0.33,0.25,0.34,0.54,1.33,1.84,2.0,2.79,2.2,2.26,2.33,,31.38,3.76
g_0,0.32,0.55,0.73,0.47,0.52,0.53,2.48,,2.63,2.91,3.14,5.59,4.35,3.86,,
