,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.69,0.63,0.58,0.78,0.58,0.61,0.9,1.57,1.04,0.87,0.96,0.94,0.86,0.92,0.98,0.35
f_1,1.09,2.74,0.61,0.56,0.5,0.49,0.92,0.92,0.84,0.91,0.81,0.39,0.85,0.86,0.93,0.57
d_1,0.53,0.73,2.84,0.44,0.56,0.59,0.88,0.51,1.7,1.13,1.19,1.07,1.1,1.12,1.1,1.2
c_1,0.56,0.59,0.54,3.19,1.1,0.7,0.88,0.94,0.25,0.65,0.65,1.03,0.86,0.81,0.99,1.07
b_1,0.65,0.64,0.5,0.76,3.76,1.03,0.72,0.82,0.73,0.59,0.28,0.9,1.06,0.79,0.75,1.0
a_1,0.59,0.57,0.78,0.57,0.7,5.55,0.99,0.83,0.76,0.75,1.11,0.84,1.19,0.27,0.87,0.91
h_1,0.75,1.0,0.8,0.75,0.61,0.53,2.99,0.86,1.02,1.43,1.27,1.11,0.56,1.12,1.55,1.48
d_0,0.67,0.8,0.39,1.46,0.72,0.79,1.03,2.06,1.01,1.18,1.25,1.14,1.31,1.16,0.98,1.15
c_0,0.8,0.81,0.91,0.4,0.55,0.56,1.12,1.14,2.17,1.33,2.44,1.33,1.46,1.67,1.22,1.29
g_1,0.66,0.62,1.3,0.75,0.59,0.49,0.96,0.85,1.32,3.66,1.16,1.51,1.19,1.3,0.76,1.27
b_0,0.54,1.0,0.85,0.83,0.35,0.48,1.31,1.21,1.23,1.15,2.64,1.44,1.38,2.44,1.17,1.28
f_0,0.52,0.5,0.95,0.87,0.76,0.77,1.37,1.06,1.22,1.35,1.13,2.88,1.25,1.17,1.25,2.85
h_0,0.7,1.04,0.86,0.78,0.83,0.71,0.59,0.98,1.17,1.46,1.1,0.99,0.72,1.14,1.56,1.14
a_0,0.68,0.84,1.03,0.58,0.65,0.28,1.02,1.29,1.32,1.08,1.55,1.57,1.2,3.59,1.05,1.53
g_0,0.64,0.76,1.28,0.72,0.75,0.67,1.14,0.95,0.9,0.68,1.17,1.92,1.25,0.65,0.56,1.33
e_0,0.4,0.8,1.01,0.73,0.89,0.77,1.54,1.05,0.82,1.21,1.24,1.27,1.03,1.04,1.23,3.51
