,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.72,2.28,1.78,2.74,2.34,2.3,8.04,7.32,18.08,9.81,10.63,9.84,16.91,10.71,7.68,15.42
f_1,3.5,5.87,1.89,2.3,2.3,1.7,7.12,6.86,10.55,10.09,10.84,6.57,16.25,9.1,6.59,16.47
d_1,2.24,2.44,6.75,1.65,1.78,2.22,8.64,8.78,6.09,20.31,13.05,11.9,16.7,13.88,12.87,15.24
c_1,1.91,2.0,2.11,6.93,4.27,2.07,8.16,7.13,9.79,4.89,7.92,10.71,14.25,9.71,13.89,14.01
b_1,1.92,2.07,2.44,2.66,7.55,4.6,7.46,8.92,9.52,8.95,6.58,10.74,14.69,8.55,11.65,14.77
a_1,2.21,2.35,2.33,2.27,2.34,11.74,9.02,6.96,10.59,11.38,10.99,12.04,17.83,6.19,12.13,18.9
h_1,2.16,3.21,2.61,2.35,2.18,2.55,17.43,12.26,8.77,10.69,11.86,11.82,12.42,12.1,13.56,22.34
g_1,1.79,2.41,4.07,2.51,1.9,2.34,8.22,21.85,8.65,11.97,12.59,18.44,16.13,11.57,16.05,13.43
d_0,2.31,2.45,1.54,4.32,2.94,2.22,9.9,9.24,17.64,7.48,11.78,10.7,16.48,11.67,12.44,16.93
c_0,2.4,3.04,2.6,2.02,1.94,2.21,10.29,9.72,10.16,18.75,21.5,11.54,18.94,15.7,15.34,17.6
b_0,2.66,2.76,2.55,2.38,1.57,2.3,9.25,9.89,11.58,11.12,20.38,9.28,17.25,25.57,12.08,18.5
f_0,1.87,2.04,3.32,2.23,2.51,2.72,9.82,9.55,10.83,13.36,13.8,21.81,20.18,13.4,27.84,21.91
h_0,2.4,3.24,2.61,2.44,2.52,1.96,6.34,11.39,11.92,11.38,10.71,11.28,12.5,9.02,12.07,23.57
a_0,2.62,2.95,2.81,2.24,2.06,1.7,7.97,9.61,9.41,13.13,11.56,10.52,20.99,28.79,14.61,19.4
e_0,1.72,2.9,2.46,2.31,2.92,2.74,10.25,9.43,10.7,12.01,14.23,11.61,22.07,13.08,28.34,17.89
g_0,2.29,2.29,3.72,2.46,2.14,2.38,9.17,7.7,10.16,10.91,11.92,17.24,16.98,13.58,15.11,14.65
