,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,8.23,15.92,11.64,11.69,14.15,3.62,2.58,3.18,3.57,2.59,2.53,1.72,2.28,2.3,
f_1,14.17,0.16,11.0,12.59,13.69,18.81,2.68,2.23,2.32,2.98,2.77,,1.12,4.33,2.96,2.77
d_1,11.58,15.12,0.16,19.68,10.79,11.27,3.65,,2.62,2.28,2.96,2.57,1.97,3.12,0.87,2.62
c_1,12.56,14.17,10.78,0.15,16.02,14.67,4.18,1.3,,3.41,3.22,2.41,1.57,,2.05,2.32
b_1,12.01,15.21,15.78,8.36,0.14,11.39,3.65,3.15,2.64,3.79,,2.04,2.55,2.27,1.42,1.9
a_1,18.57,12.83,18.78,11.0,8.54,0.1,2.81,2.25,2.15,,,2.39,2.38,,1.54,
h_1,3.96,3.54,2.62,3.13,3.19,3.19,0.07,0.69,0.73,0.94,0.67,0.56,,0.58,0.54,0.73
d_0,1.43,3.04,,2.23,2.74,4.17,0.64,0.09,0.54,0.6,0.56,0.48,0.39,0.53,0.34,0.75
c_0,2.84,2.12,1.58,,2.64,2.64,0.73,0.74,0.09,0.7,0.54,0.53,0.24,0.64,0.36,0.46
g_1,3.83,3.93,4.91,3.07,3.62,,0.64,0.62,0.56,0.06,0.76,0.78,0.4,0.63,,0.8
b_0,3.62,2.69,2.2,4.02,,,0.76,0.43,0.23,1.03,0.07,0.56,0.6,0.71,0.41,0.42
f_0,3.19,,1.99,3.1,2.68,1.93,0.82,0.51,0.62,0.46,0.48,0.06,0.3,0.54,0.26,0.45
h_0,1.72,1.68,1.78,1.11,1.61,1.96,,0.33,0.51,0.68,0.22,0.41,,0.32,0.25,0.29
a_0,2.96,2.45,2.96,,2.51,,0.78,0.78,0.58,0.95,0.26,0.54,0.33,0.05,0.32,0.42
g_0,1.47,1.73,1.62,1.57,1.85,1.54,0.36,0.55,0.41,,0.41,0.4,0.16,0.34,,
e_0,,1.97,4.28,2.32,2.5,,0.65,0.61,0.54,0.6,0.42,0.26,0.46,0.37,,0.05
