,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.09,2.34,2.19,2.29,2.53,2.15,0.57,0.72,0.46,0.55,0.51,0.62,0.26,0.5,0.47,0.39
d_1,2.66,1.08,2.7,2.51,2.2,2.29,0.65,0.45,0.45,0.7,0.45,0.46,0.3,0.46,0.48,0.22
e_1,1.58,2.74,1.09,2.69,2.95,2.58,0.7,0.89,0.6,0.63,0.58,0.68,0.39,0.52,0.65,0.4
c_1,2.52,3.04,2.13,1.1,2.85,2.39,0.7,0.8,0.67,0.34,0.52,0.51,0.44,0.5,0.54,0.4
b_1,3.1,3.44,3.09,1.81,1.1,2.75,1.02,0.86,0.9,0.61,1.03,0.65,0.47,0.67,0.61,0.52
a_1,5.13,4.63,5.13,4.05,2.27,1.12,1.3,1.35,1.17,1.09,1.28,0.96,0.74,1.44,0.84,0.63
h_1,10.73,10.41,9.65,10.34,10.72,8.03,1.53,3.11,2.28,2.38,2.04,2.09,2.23,2.33,2.0,1.52
g_1,11.43,10.41,10.97,12.68,11.27,10.33,2.59,1.53,2.16,2.44,2.3,2.26,1.21,2.06,2.01,1.87
c_0,13.22,7.65,12.54,19.02,13.05,10.67,3.58,3.1,1.72,3.36,2.19,2.25,1.6,2.17,2.17,1.54
d_0,10.12,17.27,7.61,12.11,12.02,12.68,3.7,3.98,2.76,1.78,2.63,2.61,1.86,2.31,2.46,2.16
b_0,14.22,10.66,12.87,18.16,18.61,12.05,3.55,3.64,1.64,2.74,1.74,2.28,1.84,2.81,2.34,1.65
f_0,17.8,13.67,12.73,14.93,13.48,11.62,3.8,2.65,2.9,3.02,2.78,1.78,2.13,2.75,2.76,1.23
h_0,17.62,16.78,16.9,17.18,17.59,16.13,6.08,5.18,3.33,3.71,3.53,3.12,2.95,3.6,3.26,2.32
a_0,18.54,15.26,18.09,18.69,20.61,21.69,4.7,4.96,3.06,3.63,2.18,3.16,2.75,1.92,3.26,2.72
e_0,24.1,17.7,22.17,20.1,18.03,15.49,5.42,4.25,4.11,4.26,3.78,2.01,3.13,3.43,1.97,2.12
g_0,24.26,24.41,20.53,22.04,20.17,19.33,4.95,6.64,4.62,4.82,4.51,4.5,2.63,5.51,4.98,3.33
