,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.22,1.31,1.33,1.27,1.06,0.46,0.52,0.45,0.47,0.45,0.58,0.34,0.43,0.38,0.44
d_1,1.44,0.65,1.37,1.25,1.26,1.08,0.6,0.43,0.52,0.83,0.43,0.46,0.36,0.5,0.31,0.41
e_1,0.93,1.36,0.65,1.47,1.39,1.12,0.64,0.69,0.54,0.6,0.5,0.54,0.4,0.43,0.44,0.57
c_1,1.28,1.64,1.19,0.63,1.52,1.41,0.62,0.61,0.61,0.3,0.4,0.48,0.39,0.42,0.37,0.47
b_1,1.54,1.41,1.48,0.89,0.62,1.72,0.67,0.64,0.58,0.52,0.85,0.5,0.46,0.52,0.44,0.51
a_1,1.77,1.65,1.76,1.54,0.9,0.58,0.76,0.79,0.57,0.59,0.83,0.54,0.46,0.97,0.48,0.45
h_1,2.17,1.78,1.96,1.97,1.83,1.7,0.57,0.88,0.73,0.74,0.72,0.68,0.68,0.62,0.57,0.62
g_1,2.64,2.3,2.02,2.24,2.1,1.81,0.82,0.55,0.72,0.66,0.7,0.76,0.56,0.71,0.68,0.75
c_0,2.27,1.45,2.17,3.39,2.29,2.25,1.02,0.99,0.61,1.0,0.96,0.86,0.64,0.79,0.57,0.78
d_0,2.2,2.66,1.39,2.94,2.44,2.22,1.17,1.24,0.79,0.61,0.79,0.82,0.66,0.72,0.68,0.86
b_0,2.68,2.01,2.22,3.31,3.24,1.92,1.04,0.93,0.5,0.83,0.58,0.79,0.71,1.03,0.71,0.78
f_0,3.11,2.25,2.17,2.61,2.3,2.41,1.11,0.78,0.81,0.86,0.77,0.58,0.74,0.66,0.51,0.87
h_0,2.6,2.61,2.28,2.83,2.62,2.12,1.52,1.07,0.92,0.95,0.86,0.87,0.96,0.72,0.84,0.76
a_0,2.93,2.46,2.68,2.91,3.15,2.83,1.19,1.11,0.87,1.05,0.52,0.95,0.81,0.55,0.71,0.97
g_0,3.02,2.46,2.59,2.75,2.89,2.4,1.06,1.51,1.0,0.99,0.87,1.04,0.61,0.88,0.93,0.9
e_0,3.51,2.79,3.79,2.68,2.42,2.76,1.33,1.06,0.87,0.89,1.0,0.56,0.81,0.8,0.69,0.54
