,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.15,81.36,82.21,74.02,82.71,85.05,16.78,22.19,14.11,14.73,,19.5,8.16,18.95,15.16,18.0
e_1,48.45,1.15,103.97,98.7,103.39,127.57,25.18,25.36,17.92,17.26,17.73,15.0,9.71,,22.29,10.45
d_1,81.11,102.29,1.15,105.75,78.24,81.18,23.14,14.79,20.72,,15.81,18.87,11.03,24.88,13.54,9.0
c_1,100.84,99.44,107.12,1.15,107.22,111.63,28.53,33.81,,10.07,18.87,27.86,14.57,28.43,21.06,13.5
b_1,109.74,143.2,76.85,52.87,1.15,111.63,29.52,33.81,20.09,23.23,22.5,,20.4,30.62,21.06,14.73
a_1,169.59,223.75,168.33,148.05,93.39,1.15,47.56,44.38,51.0,40.27,48.75,,24.0,,,20.25
h_1,86.77,91.79,107.12,95.52,99.83,81.18,2.0,22.19,19.5,18.88,27.86,14.27,,13.72,22.29,12.96
g_1,120.35,108.48,147.29,113.88,107.22,162.36,26.75,2.0,22.86,23.23,36.56,21.67,11.33,23.41,18.95,
c_0,98.18,99.44,40.63,,125.87,85.05,31.7,37.37,3.11,23.23,16.71,24.38,11.03,13.72,17.23,12.46
d_0,124.37,56.83,,95.52,78.24,74.42,25.18,41.76,20.09,3.13,19.5,13.93,12.75,33.17,34.45,23.14
f_0,,111.88,114.03,123.37,82.71,148.83,22.53,17.32,22.86,26.26,2.94,19.5,14.57,,22.29,8.76
b_0,91.0,91.79,117.83,109.67,,,37.22,23.67,11.84,22.37,17.73,3.29,15.11,22.11,23.69,13.5
h_0,77.73,99.44,130.93,109.67,137.86,94.0,,35.5,18.94,17.76,15.39,15.81,,,22.29,14.09
e_0,287.0,,135.96,155.84,180.94,,57.07,44.38,30.14,22.37,,25.43,,2.76,27.07,27.0
a_0,248.73,198.89,235.67,197.4,170.29,,31.7,50.71,33.15,40.27,36.56,16.25,29.14,20.95,3.11,20.25
g_0,162.22,132.59,176.75,134.59,131.59,119.07,25.94,,22.1,25.17,23.4,30.79,13.16,23.41,23.69,
