,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,102.7,44.29,55.51,101.3,134.33,213.03,8115.58,15517.27,32828.93,17895.54,33699.24,34824.7,83719.52,75438.56,160094.3,143188.36
f_1,72.88,104.97,57.92,69.58,110.05,252.77,6490.16,15170.89,17647.62,18408.33,15952.33,30168.45,73703.62,74816.26,126703.43,107878.96
d_1,43.12,50.74,128.85,64.27,114.19,242.47,7076.53,12397.48,11044.82,27192.56,25324.25,30001.9,74499.12,84506.89,113504.09,94703.9
c_1,33.72,47.03,53.1,151.52,180.9,233.89,6689.3,12728.5,13226.83,7913.63,21467.44,20562.87,67907.04,71540.46,119681.48,101407.58
b_1,32.74,36.49,44.3,45.56,233.26,311.93,6262.29,12639.1,12852.03,13762.49,22017.13,11601.78,53806.95,80446.43,95474.21,91168.33
a_1,29.79,27.7,41.97,43.02,63.98,425.98,4913.42,8657.69,9430.35,11179.36,16089.37,15929.41,43983.03,51102.05,79014.27,39214.71
h_1,10.49,16.98,16.47,19.79,26.43,54.97,3301.3,5032.87,5143.25,4697.83,6675.78,7493.24,14044.57,26519.1,38266.51,28109.82
g_1,9.59,9.36,17.2,14.93,20.48,56.27,1438.05,5711.49,3440.83,3603.61,7802.46,6218.5,11862.93,16900.58,19974.27,26172.76
d_0,8.24,10.84,8.52,26.52,27.12,54.22,1334.18,2902.46,5299.43,2786.49,5811.62,5331.68,14930.59,17475.14,29283.0,24582.24
c_0,10.31,9.84,12.69,11.45,22.09,53.19,1507.96,3216.88,4073.63,5304.42,6337.84,9358.09,14942.32,20892.54,28388.41,31918.64
f_0,7.13,7.34,11.34,17.0,23.88,42.19,1523.01,2221.27,3625.02,3079.76,7581.84,5556.46,12514.62,29892.04,23577.78,21141.01
b_0,7.46,7.92,13.03,14.98,16.69,36.33,1351.07,2690.64,3373.08,2896.36,5103.94,8012.36,14510.43,19796.09,26446.7,42913.42
h_0,6.08,7.4,8.82,10.58,16.21,35.04,807.94,2676.36,2546.11,2381.28,3489.78,3873.72,8128.42,10742.06,22933.93,16116.97
e_0,3.3,7.03,8.29,10.78,13.99,33.31,930.3,2020.46,1952.24,2149.56,3035.22,3026.01,10098.21,19365.24,13673.55,13356.18
g_0,4.49,4.61,10.23,9.22,13.08,26.82,893.33,1307.79,1924.14,2016.5,4394.27,2960.33,7696.34,13467.84,13221.89,13080.58
a_0,4.33,5.85,8.33,8.19,13.5,20.66,912.35,1512.99,2134.99,1510.33,3407.04,2635.04,8780.74,9947.02,16293.7,24064.46
