,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.16,0.38,0.76,0.72,0.71,0.63,0.23,0.24,0.14,0.14,0.15,0.15,0.14,0.09,0.28,0.13
f_1,0.55,0.16,0.61,0.87,0.57,0.74,0.14,0.22,0.12,0.12,0.12,0.26,0.13,0.06,0.14,0.11
d_1,0.82,0.75,0.16,0.64,0.64,0.57,0.18,0.12,0.12,0.33,0.13,0.12,0.13,0.09,0.11,0.06
c_1,0.53,0.65,0.88,0.15,0.78,0.54,0.17,0.15,0.24,0.08,0.14,0.13,0.11,0.1,0.14,0.09
b_1,0.77,0.85,0.62,0.34,0.14,0.73,0.2,0.21,0.17,0.16,0.36,0.13,0.16,0.11,0.11,0.1
a_1,0.78,0.65,0.67,0.68,0.35,0.09,0.21,0.26,0.17,0.15,0.19,0.14,0.31,0.12,0.12,0.1
h_1,0.49,0.56,0.46,0.54,0.55,0.48,0.07,0.14,0.11,0.11,0.12,0.1,0.1,0.12,0.11,0.09
g_1,0.48,0.57,0.49,0.57,0.56,0.49,0.12,0.05,0.1,0.12,0.11,0.11,0.11,0.06,0.12,0.1
c_0,0.59,0.53,0.28,1.35,0.51,0.66,0.17,0.17,0.06,0.18,0.09,0.11,0.12,0.07,0.09,0.07
d_0,0.28,0.48,1.05,0.57,0.56,0.5,0.19,0.2,0.13,0.06,0.13,0.12,0.1,0.07,0.1,0.09
b_0,0.53,0.53,0.42,0.91,0.73,0.39,0.14,0.17,0.05,0.13,0.05,0.1,0.12,0.08,0.09,0.07
f_0,0.55,0.9,0.49,0.49,0.58,0.51,0.17,0.08,0.1,0.1,0.1,0.05,0.1,0.09,0.09,0.04
a_0,0.46,0.48,0.51,0.66,0.62,0.8,0.15,0.15,0.08,0.13,0.05,0.14,0.04,0.07,0.1,0.1
h_0,0.49,0.51,0.52,0.55,0.54,0.45,0.21,0.16,0.1,0.13,0.09,0.1,0.1,0.13,0.09,0.07
e_0,0.83,0.64,0.48,0.49,0.46,0.54,0.18,0.14,0.1,0.12,0.11,0.05,0.11,0.07,0.04,0.05
g_0,0.56,0.6,0.49,0.53,0.51,0.49,0.11,0.19,0.1,0.13,0.11,0.1,0.1,0.06,0.09,0.1
