,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.76,0.99,1.14,0.93,0.85,0.76,0.7,0.87,0.66,0.64,0.66,0.67,0.65,0.5,0.58
f_1,1.31,1.0,0.93,0.98,0.8,0.77,0.56,0.69,0.64,0.63,0.62,0.55,0.52,0.45,0.46,0.51
d_1,1.0,1.08,1.0,0.88,0.93,0.86,0.74,0.57,0.72,0.89,0.74,0.63,0.61,0.59,0.61,0.47
c_1,0.88,1.02,1.15,1.0,1.39,0.83,0.74,0.65,0.48,0.53,0.54,0.57,0.6,0.55,0.54,0.53
b_1,1.09,1.24,1.07,0.73,1.0,1.23,0.76,0.79,0.67,0.63,0.66,0.76,0.49,0.73,0.62,0.67
a_1,1.17,1.31,1.16,1.21,0.81,1.0,0.96,0.99,0.73,0.81,0.88,0.63,1.0,0.8,0.74,0.79
h_1,1.33,1.72,1.36,1.39,1.29,1.03,1.0,1.14,0.84,0.87,0.89,0.91,0.78,0.85,0.74,0.97
g_1,1.47,1.48,1.69,1.56,1.31,1.04,0.88,1.0,1.05,0.92,0.92,1.11,0.92,0.93,0.83,0.72
d_0,1.13,1.48,1.47,2.18,1.52,1.34,1.12,1.01,1.0,0.82,0.94,0.84,0.88,0.92,0.96,0.86
c_0,1.61,1.52,1.09,1.9,1.58,1.23,1.16,1.12,1.27,1.0,1.39,1.03,1.05,1.09,0.94,0.83
b_0,1.52,1.58,1.33,1.85,1.52,1.06,1.09,1.06,1.07,0.7,1.0,0.97,1.34,1.03,0.91,0.88
f_0,1.53,1.77,1.54,1.69,1.35,1.65,1.12,0.89,1.27,1.05,0.95,1.0,0.99,1.17,1.37,0.75
a_0,1.58,1.89,1.71,1.59,2.06,1.19,1.24,1.02,1.07,0.94,0.8,1.0,1.0,1.09,1.14,1.06
h_0,1.53,2.18,1.69,1.76,1.42,1.26,1.23,1.1,1.03,0.93,1.02,0.88,0.86,1.0,1.02,1.08
e_0,1.98,2.24,1.65,1.74,1.63,1.37,1.38,1.16,1.09,1.02,1.14,0.71,0.9,0.93,1.0,0.95
g_0,1.72,1.89,2.14,1.89,1.49,1.28,1.04,1.42,1.09,1.15,1.13,1.33,0.89,0.9,1.01,1.0
