,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.85,0.94,0.92,0.65,0.37,0.45,0.39,0.43,0.35,0.32,0.29,0.3,0.23,0.3
e_1,0.81,1.0,0.91,1.06,0.97,0.78,0.51,0.57,0.38,0.42,0.37,0.41,0.35,0.36,0.35,0.33
d_1,1.17,1.09,1.0,0.97,0.91,0.76,0.44,0.44,0.59,0.3,0.45,0.37,0.36,0.31,0.32,0.26
c_1,1.08,0.94,1.02,1.0,1.32,0.79,0.5,0.31,0.46,0.42,0.32,0.36,0.33,0.29,0.34,0.31
b_1,1.08,1.04,1.1,0.77,1.0,1.18,0.59,0.47,0.47,0.51,0.47,0.39,0.4,0.31,0.29,0.33
a_1,1.52,1.31,1.34,1.26,0.85,1.0,0.77,0.68,0.57,0.64,0.62,0.55,0.49,0.49,0.48,0.48
h_1,2.74,1.95,2.25,2.06,1.66,1.32,1.0,0.84,0.89,0.98,0.85,0.73,0.67,0.61,0.65,0.71
d_0,2.18,1.72,2.34,3.37,2.17,1.43,1.12,1.0,0.78,0.92,0.92,0.85,0.81,0.66,0.73,0.67
c_0,2.49,2.64,1.71,2.07,2.07,1.7,1.16,1.39,1.0,1.01,1.34,0.78,0.81,0.79,0.73,0.74
g_1,2.4,2.34,3.2,2.41,2.11,1.62,1.0,1.01,1.02,1.0,0.92,1.12,0.81,0.71,0.83,0.69
b_0,2.93,2.54,2.28,3.07,2.12,1.58,1.16,1.08,0.77,1.13,1.0,0.88,0.9,1.08,0.83,0.8
f_0,3.13,2.4,2.71,2.73,2.58,1.83,1.33,1.23,1.24,0.92,1.07,1.0,0.96,0.75,1.22,0.63
h_0,3.41,2.82,2.76,3.02,2.55,1.9,1.51,1.33,1.23,1.25,1.16,1.07,1.0,0.86,0.78,1.03
a_0,3.24,2.75,3.25,3.3,3.29,2.23,1.54,1.42,1.37,1.37,0.97,1.3,1.19,1.0,1.04,1.05
e_0,4.37,2.77,2.96,3.03,3.28,2.14,1.49,1.37,1.35,1.18,1.26,0.85,1.29,1.01,1.0,0.96
g_0,3.29,2.92,3.82,3.23,2.93,2.09,1.36,1.55,1.34,1.42,1.28,1.63,0.99,1.06,1.12,1.0
