,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,116.85,37.35,36.68,43.53,96.36,131.62,5572.73,8064.48,9704.34,5416.87,24977.38,17709.45,73132.42,62033.1,57510.98,87868.77
f_1,39.45,117.9,45.67,66.18,47.76,151.25,4525.35,8740.72,9492.06,13694.16,7608.11,24611.69,62062.13,37380.99,68103.32,92016.06
d_1,33.37,35.06,126.45,35.87,56.4,182.71,4883.62,7348.6,6325.85,24224.35,21809.22,28657.48,68806.71,71858.24,65066.79,87377.88
e_1,36.89,30.76,33.5,133.7,53.49,205.53,4149.19,6798.02,18562.23,12781.77,21788.94,22328.43,79683.59,35780.57,60607.43,111457.13
b_1,25.32,36.74,29.15,37.86,165.38,336.27,5034.18,6322.87,11227.74,12622.56,19238.36,9221.29,55423.57,57608.3,59898.67,71876.67
a_1,29.73,21.73,21.31,21.93,23.51,495.1,2374.66,4785.09,6543.18,8474.25,11665.26,12781.66,40292.73,45235.85,14863.17,60241.08
h_1,10.33,16.37,13.29,13.06,13.46,75.09,3043.61,2864.58,3440.86,5117.2,7296.82,8511.63,12848.48,15149.13,21850.37,39412.89
g_1,8.98,8.28,15.59,10.98,13.67,48.49,1316.32,4609.59,2843.47,4041.51,9272.03,6279.23,15597.27,20699.04,22804.55,18097.74
d_0,16.03,10.65,6.14,9.55,12.68,46.59,1014.03,2006.35,4713.64,3157.86,6044.58,5854.59,15409.18,15115.69,17651.68,25315.74
c_0,6.94,9.58,9.66,10.04,10.51,47.77,1166.95,1965.53,2733.5,5955.0,5758.18,10170.86,17903.08,18245.84,21184.64,30757.1
f_0,6.92,5.11,10.05,8.36,12.25,53.03,889.67,1353.41,2187.19,3212.54,8159.52,5800.87,13989.64,21845.04,16454.35,19991.43
b_0,7.28,9.21,8.25,9.22,5.86,34.97,847.54,1848.39,2494.93,2696.23,3887.92,8544.78,15233.58,14044.78,27049.03,21430.96
h_0,5.23,7.08,6.04,6.06,8.36,32.04,397.79,1663.08,1822.59,2030.07,3445.28,3332.07,7104.5,8583.66,12085.4,18253.52
e_0,5.62,7.78,5.44,,9.14,26.71,912.11,1004.61,1404.94,1707.27,2971.12,3755.35,12715.57,19860.51,10588.92,15963.89
a_0,6.59,5.69,7.47,5.78,7.13,,726.38,920.61,1459.85,1508.68,2433.32,1780.6,8619.25,7662.76,20178.39,16587.48
g_0,5.14,4.16,8.07,4.89,7.71,22.71,520.71,679.22,1356.54,1692.59,3724.87,2962.58,8330.69,6870.81,9098.94,8805.71
