,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,1.1,2.52,2.08,2.02,2.0,0.72,0.43,0.39,0.59,0.46,0.45,0.39,0.33,0.87,0.33
f_1,1.94,0.43,1.96,1.8,2.08,2.07,0.4,0.41,0.39,0.69,0.41,0.77,0.35,0.22,0.32,0.3
c_1,1.69,2.55,0.42,2.75,1.64,1.86,0.68,0.27,0.98,0.58,0.43,0.44,0.39,0.32,0.46,0.33
d_1,2.67,2.3,1.83,0.41,2.0,1.94,0.57,1.14,0.37,0.39,0.41,0.48,0.38,0.3,0.36,0.18
b_1,2.06,2.71,1.21,2.11,0.4,2.23,0.65,0.49,0.54,0.67,0.95,0.44,0.56,0.32,0.49,0.36
a_1,2.7,2.38,3.44,2.93,1.69,0.32,0.89,0.69,0.64,0.94,0.59,0.6,1.13,0.47,0.67,0.44
h_1,3.32,3.84,3.7,3.01,3.34,2.77,0.33,0.88,0.71,1.1,0.7,0.68,0.72,1.2,0.56,0.51
d_0,1.89,3.5,4.81,7.13,3.97,3.48,1.04,0.38,0.83,1.71,0.91,0.66,0.65,0.51,0.72,0.63
c_0,4.33,3.96,8.66,1.98,4.39,4.21,1.08,0.95,0.39,1.17,0.68,0.72,0.57,0.52,0.67,0.49
g_1,4.68,4.92,4.07,3.33,4.53,3.77,0.75,0.85,0.73,0.28,0.69,0.73,0.84,0.37,0.71,1.03
b_0,4.25,4.27,5.23,3.1,8.81,4.08,1.01,1.12,0.43,1.1,0.35,0.66,0.79,0.55,0.74,0.59
f_0,3.12,9.75,4.21,4.05,4.61,4.49,1.25,0.92,0.71,0.77,0.79,0.34,0.85,0.66,0.87,0.35
a_0,4.15,4.9,5.62,4.31,6.75,6.05,1.27,1.08,0.81,1.36,0.47,0.87,0.35,0.78,0.84,0.74
h_0,4.29,5.42,4.75,4.14,4.53,4.31,2.01,0.88,1.0,1.31,1.01,0.74,1.0,0.88,0.76,0.64
e_0,8.36,6.05,5.62,4.01,5.23,4.23,1.28,1.23,1.04,1.28,1.1,0.53,1.05,0.64,0.32,0.73
g_0,4.85,5.13,5.36,5.3,5.0,3.8,1.26,1.24,1.27,3.25,1.0,1.13,1.28,0.51,0.89,1.02
