,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10371.24,4794.13,2934.19,3821.36,5719.45,27932.96,3720535.72,5552054.48,7716455.69,9884347.81,21280364.4,12756393.58,78726123.26,84132644.31,72588691.9,195915069.35
e_1,2621.55,11670.24,4875.7,2972.51,6190.88,30454.8,3619865.93,11761069.06,9625007.34,12711255.59,21566869.76,33114691.41,72768929.35,83388040.92,41576729.93,221328418.34
c_1,2112.0,2154.97,17808.68,3581.14,12391.57,39437.06,3643270.87,5871730.37,8574444.95,3382892.01,14931078.29,30625192.88,73355103.63,101848065.63,107451724.58,208865614.42
d_1,2671.45,2065.33,2862.84,20929.44,5535.66,27999.24,4082523.76,3338820.09,10942285.66,28518182.9,30773552.21,31559876.44,90252802.46,109689262.93,120059057.26,220098906.69
b_1,2299.15,2232.06,3864.94,3421.58,35651.66,72527.42,4068282.87,6138365.8,8402924.21,11087473.84,6858429.5,37246178.94,71377528.66,75194089.68,111160494.63,170816838.93
a_1,2388.2,2690.57,3867.21,4791.65,5339.19,293089.76,3367203.72,6942810.26,12584294.12,12017237.43,16988191.26,35902329.03,87688670.63,42229633.29,81028635.81,178868078.47
h_1,4088.88,3095.68,3959.45,5875.11,5613.58,34129.55,13040441.61,5983490.46,15527471.95,15141406.55,24288255.52,30079061.12,50956116.61,103146883.03,115079649.36,334865996.65
d_0,3058.93,3102.37,8082.34,2598.82,7591.52,40076.1,4493251.88,15228822.5,11164452.34,12653043.76,29405167.65,30589395.79,81143994.1,109192628.75,111533291.04,234542601.93
g_1,2322.59,2299.17,4400.46,8756.74,6945.35,35451.72,3766100.57,6950072.07,41809506.39,16594111.93,26466427.16,68830760.05,82248984.31,93059963.87,143252079.29,157489173.9
c_0,3408.61,2651.7,3023.54,6018.61,5956.07,38707.9,4651768.52,9619142.49,13578500.96,37496736.11,58013911.92,38075078.2,122022723.07,133231390.58,131612359.4,262521391.88
b_0,3175.72,3449.58,4799.62,5789.43,2927.37,20662.91,4749631.81,9051035.31,15067965.57,21651227.67,70365819.65,41284601.21,119546899.7,239679472.17,120773694.51,274152774.46
f_0,1712.5,2860.48,5047.6,6559.21,7039.6,39857.64,4403654.39,7832282.04,12929979.23,15166426.83,26766321.76,102735777.78,107828108.55,113291361.96,265941283.75,302757343.83
h_0,4211.41,3105.59,4068.48,6357.07,7096.9,37777.98,2583414.6,6564039.12,15931928.23,15164925.36,24844839.67,36037967.01,57163798.19,110735767.82,130566156.23,358407583.67
a_0,3064.37,3544.68,5159.68,5816.7,6127.16,14660.58,5355763.67,6600197.99,12589279.26,14712706.5,23964174.26,39886845.47,92530809.02,333216580.15,149026666.75,264700232.67
e_0,3051.35,1234.36,5083.3,6821.41,8965.55,29780.49,5256306.44,8243610.49,11974659.05,15822204.11,32858449.38,34814746.2,112053527.42,137708719.38,375880532.26,293287606.48
g_0,3056.0,2301.91,4844.76,7507.47,7429.47,53019.44,3699682.41,5583205.69,7818054.97,14994973.61,23215867.67,57126014.58,111388767.89,125870813.2,130491118.21,156909337.68
