,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.39,0.72,0.73,0.79,0.77,0.72,1.46,1.44,1.57,2.92,1.76,1.91,1.72,1.99,1.0,1.97
f_1,1.09,2.4,0.8,0.82,0.8,0.75,1.31,1.32,1.59,1.57,1.69,0.59,1.71,1.78,1.21,1.77
d_1,0.73,0.86,2.44,0.58,0.76,0.81,1.63,1.49,2.63,0.74,1.85,1.85,1.6,2.03,1.7,2.02
c_1,0.81,0.66,0.85,2.66,1.27,0.68,1.4,1.35,0.4,1.55,1.74,1.72,1.39,2.01,1.77,2.34
b_1,0.79,0.73,0.88,0.59,2.79,1.37,1.51,1.55,1.6,1.5,0.64,1.75,1.31,2.35,1.71,2.03
a_1,0.78,0.82,0.66,0.9,0.6,3.33,1.61,1.46,2.04,1.65,1.82,1.79,1.06,2.39,1.37,2.48
h_1,0.94,1.35,1.01,1.05,0.83,0.94,3.72,2.36,2.13,2.01,2.13,2.27,2.45,1.47,2.19,2.46
g_1,0.96,0.99,1.3,1.13,0.84,0.86,1.65,4.02,2.24,2.04,1.88,3.02,1.88,2.5,2.75,1.65
c_0,1.08,1.08,0.95,0.97,1.06,0.72,2.15,2.19,3.78,2.39,3.6,2.74,2.21,2.88,2.74,3.02
d_0,0.84,0.97,0.54,1.95,1.07,0.92,1.93,2.19,1.79,3.75,2.42,2.51,2.26,3.1,2.43,3.01
b_0,0.98,1.15,0.99,1.17,0.63,0.81,2.32,2.15,1.76,2.01,3.96,2.14,4.77,3.39,2.9,3.24
f_0,0.89,0.58,1.14,1.16,0.97,1.0,2.08,1.83,2.38,2.27,3.07,4.12,2.81,3.55,5.0,2.97
a_0,1.03,1.15,1.21,1.14,0.89,0.53,2.09,2.26,2.36,1.75,1.89,2.55,4.49,3.0,2.48,2.53
h_0,0.86,1.39,1.12,1.01,0.97,0.81,1.36,2.36,2.2,2.27,1.95,1.66,2.45,1.75,2.45,3.28
e_0,0.7,1.55,0.97,0.98,1.06,1.21,2.24,1.67,2.06,2.26,2.02,1.43,2.33,3.14,5.01,3.15
g_0,0.84,1.08,1.27,1.0,1.05,0.76,2.14,1.56,2.45,1.79,2.5,2.79,2.62,2.71,2.23,
