,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,0.75,1.16,0.9,0.63,0.56,0.6,0.47,0.44,0.4,0.44,0.35,0.36,0.42,0.35
d_1,1.17,1.0,1.05,0.88,0.85,0.69,0.49,0.49,0.37,0.54,0.4,0.42,0.32,0.31,0.32,0.29
f_1,1.32,0.95,1.0,0.93,0.86,0.68,0.41,0.43,0.48,0.38,0.43,0.37,0.35,0.35,0.27,0.29
c_1,0.86,1.13,1.08,1.0,1.42,0.66,0.53,0.35,0.44,0.37,0.34,0.38,0.31,0.31,0.34,0.38
b_1,1.11,1.19,1.17,0.7,1.0,1.34,0.57,0.52,0.58,0.53,0.45,0.45,0.47,0.31,0.39,0.34
a_1,1.62,1.43,1.48,1.48,0.75,1.0,0.69,0.55,0.63,0.67,0.63,0.49,0.46,0.52,0.41,0.44
h_1,1.74,2.1,2.55,1.85,1.71,1.4,1.0,0.8,1.02,0.83,0.81,0.64,0.65,0.63,0.58,0.68
d_0,1.68,2.02,2.17,2.96,2.06,1.78,1.3,1.0,1.04,0.76,0.93,0.77,0.83,0.78,0.61,0.75
g_1,2.17,2.66,1.96,2.29,1.75,1.53,1.01,0.93,1.0,0.88,0.86,1.08,0.58,0.64,0.67,0.68
c_0,2.22,1.86,2.7,2.35,1.8,1.49,1.28,1.33,1.09,1.0,1.37,0.92,0.97,0.79,0.75,0.71
b_0,2.57,2.4,2.49,3.02,2.3,1.56,1.23,1.08,1.13,0.73,1.0,0.86,1.0,1.21,0.72,0.75
f_0,2.42,2.53,2.65,2.56,2.19,1.93,1.45,1.23,0.92,1.1,1.04,1.0,0.83,0.92,1.27,0.71
h_0,2.84,3.0,2.98,3.27,2.15,2.06,1.52,1.22,1.69,1.05,0.95,1.1,1.0,0.88,0.8,1.1
a_0,2.69,3.29,2.84,3.18,3.5,1.82,1.59,1.31,1.7,1.18,0.79,1.16,1.16,1.0,0.92,0.87
e_0,2.65,3.29,3.82,2.99,2.83,2.14,1.75,1.58,1.49,1.26,1.26,0.78,1.25,1.08,1.0,1.1
g_0,2.76,3.69,3.33,2.8,2.86,2.17,1.44,1.4,1.5,1.51,1.36,1.44,0.92,1.11,0.93,1.03
