,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.09,1.03,0.89,0.85,0.71,0.46,0.43,0.37,0.53,0.42,0.42,0.35,0.34,0.32,0.28
e_1,0.94,1.0,0.83,1.07,0.93,0.8,0.5,0.58,0.48,0.4,0.44,0.4,0.39,0.33,0.36,0.34
f_1,0.96,1.2,1.0,1.0,0.87,0.73,0.41,0.46,0.47,0.39,0.38,0.37,0.31,0.32,0.26,0.31
c_1,1.13,0.92,1.01,1.0,1.13,0.78,0.49,0.35,0.43,0.38,0.38,0.33,0.37,0.32,0.32,0.38
b_1,1.2,1.09,1.16,0.89,1.0,1.13,0.61,0.44,0.48,0.57,0.44,0.55,0.4,0.36,0.38,0.41
a_1,1.37,1.2,1.37,1.28,0.88,1.0,0.71,0.61,0.67,0.63,0.56,0.62,0.53,0.49,0.51,0.43
h_1,2.14,2.01,2.42,2.07,1.57,1.36,1.0,0.9,1.07,0.81,0.8,0.82,0.75,0.73,0.65,0.76
d_0,2.24,1.79,2.15,2.84,2.28,1.62,1.11,1.0,0.99,0.82,0.89,0.84,0.82,0.7,0.79,0.81
g_1,2.72,2.11,2.18,2.27,2.06,1.5,0.97,1.04,1.0,1.01,1.05,0.93,0.76,0.88,0.87,0.8
c_0,1.96,2.52,2.5,2.57,1.75,1.54,1.24,1.25,0.98,1.0,0.98,1.33,0.91,0.93,0.85,0.85
f_0,2.44,2.26,2.72,2.51,2.3,1.89,1.19,1.09,0.95,1.03,1.0,0.97,0.9,0.79,1.13,0.69
b_0,2.35,2.4,2.65,2.97,1.92,1.64,1.22,1.22,1.05,0.79,1.03,1.0,0.92,1.23,0.97,0.85
h_0,2.93,2.73,3.21,2.59,2.32,1.86,1.33,1.25,1.28,1.1,1.08,1.04,1.0,0.91,0.89,1.0
a_0,2.93,3.04,3.18,3.02,2.62,1.94,1.45,1.4,1.17,1.18,1.18,0.83,1.07,1.0,1.03,0.99
e_0,3.04,2.77,3.91,3.0,2.52,1.94,1.53,1.25,1.15,1.24,0.89,1.16,1.08,1.01,1.0,1.01
g_0,3.53,2.85,3.16,2.73,2.39,2.21,1.3,1.25,1.28,1.25,1.46,1.23,0.96,1.01,1.01,1.0
