,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,95.16,92.13,94.64,99.64,129.66,344.73,11678.84,17976.42,25209.05,25825.99,39483.91,39689.94,96954.05,136416.74,172385.89,307313.68
e_1,53.02,100.55,124.33,94.26,126.93,350.03,11827.07,26841.53,26779.79,26256.32,46687.55,58023.88,122781.99,160009.45,194865.37,276838.19
c_1,49.87,41.8,143.68,90.87,202.99,371.65,10574.42,12234.3,16102.45,19968.65,24111.07,43409.07,94642.01,166536.93,125997.41,215244.13
d_1,56.55,53.0,68.4,155.88,110.84,271.38,10171.46,12526.79,34940.62,19703.18,39141.14,42440.33,103221.21,140941.04,156651.31,222799.7
b_1,43.05,46.57,59.87,80.88,196.91,521.19,9545.78,11855.99,21348.92,19481.89,23865.17,40392.61,81540.63,136618.96,103054.53,222569.14
a_1,34.19,30.39,50.99,64.56,60.97,454.64,7959.8,9887.65,16135.33,16688.74,28255.12,33902.72,59799.68,107572.75,90338.2,166608.04
h_1,15.44,13.86,20.69,26.13,29.06,68.58,3933.97,3509.82,5452.35,7444.5,9238.5,12159.59,20150.76,42207.12,44180.18,78955.18
d_0,10.85,10.9,30.98,16.71,33.03,68.85,2663.79,4397.33,4894.12,5386.84,8180.94,11620.72,23303.96,41015.5,38705.78,64521.58
c_0,11.06,11.01,17.2,18.32,20.78,64.44,2506.4,3238.74,6369.08,5084.06,12948.08,9588.95,20401.79,33022.77,36625.72,58387.54
g_1,9.61,10.28,17.51,24.26,20.98,61.26,1903.66,2775.73,4746.08,7167.88,6724.62,11798.73,17411.82,36144.33,34084.87,37095.19
b_0,10.44,9.49,18.52,15.3,16.74,40.87,2088.67,2874.74,3654.19,4432.92,9023.81,7800.24,19809.45,30746.19,52930.53,47865.54
f_0,7.9,7.09,15.39,17.07,20.47,51.48,1765.69,2584.51,4029.25,3530.58,6514.23,10868.88,14888.3,46717.53,29977.67,40060.84
h_0,8.76,6.65,11.89,12.41,15.12,43.87,1338.03,2091.77,3258.8,3974.73,5353.67,6098.71,11571.52,19950.31,21562.48,45621.25
e_0,5.71,4.99,9.66,11.78,14.91,36.33,1193.75,1488.43,2704.96,2409.28,3684.71,4903.47,10268.02,25844.03,19050.25,31633.6
a_0,6.34,5.5,10.4,10.35,15.6,22.15,1193.21,1904.66,2729.6,2240.18,3806.86,4928.93,12239.41,20864.37,27502.46,28626.0
g_0,4.73,4.91,8.43,13.38,11.36,30.65,992.82,1313.69,2482.62,2283.28,3910.05,6271.31,8025.95,17468.83,17191.21,21986.61
