,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.35,1.18,1.2,1.56,3.4,17.3,21.78,33.5,27.58,42.71,50.75,60.14,82.75,78.91,109.56
e_1,0.74,1.0,1.51,1.21,1.67,3.37,20.34,32.44,37.24,38.62,42.62,57.07,68.52,81.27,109.57,132.12
c_1,0.84,0.67,1.0,1.12,1.8,3.19,17.37,14.08,26.09,18.66,29.07,38.64,58.08,71.33,74.85,86.14
d_1,0.84,0.83,0.89,1.0,1.27,2.42,15.68,21.26,20.51,35.6,38.55,36.46,51.06,65.15,70.03,72.77
b_1,0.63,0.6,0.56,0.8,1.0,3.69,16.1,14.9,20.97,22.71,29.19,38.69,42.18,58.86,55.27,64.93
a_1,0.29,0.3,0.31,0.41,0.27,1.0,6.13,6.91,11.49,8.92,14.89,14.94,20.73,30.4,25.09,27.14
h_1,0.05,0.05,0.06,0.07,0.06,0.16,1.0,1.01,2.03,1.59,2.02,2.3,3.33,3.86,4.23,6.92
d_0,0.04,0.03,0.07,0.05,0.07,0.15,0.99,1.0,1.37,1.19,1.81,1.87,2.78,3.84,3.38,5.26
g_1,0.03,0.03,0.04,0.05,0.05,0.09,0.49,0.71,1.0,1.03,1.27,2.03,1.68,2.41,2.99,3.55
c_0,0.03,0.03,0.05,0.03,0.05,0.11,0.63,0.85,0.97,1.0,1.65,1.52,2.43,3.03,2.65,3.43
b_0,0.02,0.02,0.03,0.03,0.04,0.07,0.49,0.56,0.84,0.63,1.0,1.28,1.84,3.09,1.86,2.86
f_0,0.02,0.02,0.03,0.03,0.03,0.07,0.4,0.5,0.47,0.62,0.82,1.0,1.39,1.62,2.65,1.86
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.31,0.34,0.6,0.43,0.58,0.68,1.0,1.26,1.32,1.8
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.26,0.24,0.43,0.34,0.34,0.6,0.77,1.0,1.13,1.16
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.25,0.28,0.35,0.33,0.49,0.36,0.76,1.01,1.0,1.28
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.14,0.18,0.31,0.29,0.35,0.54,0.57,0.8,0.84,1.0
