,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,4.42,2.73,4.04,4.48,4.77,1.28,1.48,0.95,0.77,0.99,0.96,0.86,1.0,3.91,0.69
d_1,5.37,0.43,5.14,4.67,4.1,3.64,1.61,0.73,4.87,0.8,0.86,0.74,0.47,1.17,0.74,0.46
f_1,4.62,4.39,0.43,3.68,4.39,6.07,0.84,1.43,0.76,0.79,0.8,3.37,0.44,0.99,0.77,0.75
c_1,4.18,5.35,4.24,0.41,5.05,4.51,1.34,1.17,0.55,3.9,0.84,1.06,0.65,0.69,0.98,0.55
b_1,4.31,4.82,4.76,2.65,0.4,5.46,1.74,1.58,1.11,1.22,4.2,1.15,0.71,0.82,1.13,0.89
a_1,5.96,6.79,5.93,8.63,2.85,0.33,1.27,2.32,1.41,1.36,1.36,1.05,1.23,4.33,1.6,0.89
h_1,5.3,4.34,6.44,5.55,4.5,5.31,0.35,1.4,1.13,1.13,1.25,1.02,1.93,0.92,0.86,0.78
g_1,6.3,5.0,6.09,5.07,4.78,4.53,1.22,0.34,1.06,1.04,1.06,1.18,0.67,0.88,1.05,2.34
d_0,2.77,14.64,6.55,5.66,6.66,5.39,1.61,2.14,0.44,1.4,1.18,1.09,0.79,1.08,0.98,0.88
c_0,5.77,2.92,5.47,21.01,6.22,5.46,1.6,1.88,1.52,0.46,1.08,1.21,0.9,1.35,0.96,0.68
b_0,5.31,4.66,5.72,8.05,27.91,4.88,1.46,1.65,1.12,0.52,0.41,1.01,0.91,0.82,0.95,0.78
f_0,5.72,5.85,15.58,8.79,7.66,4.25,1.62,1.05,1.32,1.24,1.22,0.39,0.81,0.93,1.01,0.5
h_0,7.13,8.02,6.88,6.9,7.61,5.96,4.74,2.06,1.3,1.46,1.58,1.2,2.47,1.35,1.02,0.94
a_0,7.11,6.88,6.1,6.25,10.11,19.81,2.38,2.11,1.42,1.25,0.8,1.36,1.34,0.39,1.05,1.05
e_0,21.22,6.73,7.88,8.05,8.85,8.13,2.2,1.74,1.44,1.41,1.63,0.66,0.93,1.33,0.35,1.35
g_0,7.48,7.96,7.8,10.0,9.1,5.8,1.81,,2.2,1.82,1.88,1.49,0.83,1.43,1.32,2.39
