,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.37,0.45,0.27,0.26,0.27,0.25,0.54,0.57,0.61,0.61,0.51,,0.87,0.58,0.63,0.53
e_1,0.24,2.44,0.3,0.3,0.26,0.21,0.54,0.39,0.68,1.01,0.39,0.66,0.84,0.47,0.9,
d_1,0.33,0.25,2.44,0.22,0.28,0.23,0.53,0.67,0.95,,0.7,0.53,0.8,0.58,0.65,0.53
c_1,0.31,0.27,0.34,2.6,0.43,0.24,0.55,0.42,,0.61,0.53,0.77,0.58,,0.89,0.56
b_1,0.28,0.29,0.29,0.28,2.69,0.4,0.63,0.44,0.6,0.52,,0.63,0.84,0.6,0.66,0.69
a_1,0.33,0.29,0.25,0.24,0.23,3.24,0.53,0.5,0.54,0.45,0.67,0.73,1.07,,0.8,
h_1,0.65,0.54,0.52,0.52,0.4,0.53,3.83,1.07,1.35,1.1,1.54,0.98,,1.06,1.98,1.06
g_1,0.42,0.52,0.64,0.69,0.6,0.53,1.03,4.13,1.37,1.1,1.32,1.44,1.22,0.83,,
c_0,0.61,0.52,0.53,,0.56,0.76,1.18,1.17,3.49,1.82,1.96,1.63,1.82,1.21,1.89,1.0
d_0,0.7,0.55,,0.9,0.68,0.81,1.3,1.45,1.02,3.41,1.41,1.35,1.97,1.34,1.58,1.44
b_0,0.65,0.63,0.56,0.67,,0.53,1.16,1.32,1.11,1.46,3.78,1.16,1.35,2.74,2.01,1.52
f_0,,0.64,0.6,0.54,0.68,0.7,1.32,0.94,1.07,1.6,1.77,3.83,1.74,1.41,1.3,2.52
h_0,0.83,0.75,0.71,0.78,0.79,0.51,,1.97,1.78,1.48,1.86,1.67,,2.09,2.69,
a_0,0.55,0.61,0.61,,0.57,,1.13,1.73,1.62,1.26,0.96,1.65,1.86,4.62,1.69,
g_0,0.73,0.61,1.03,0.66,0.7,0.84,1.5,,1.46,1.9,1.46,2.15,1.79,1.69,,
e_0,0.53,,0.75,0.73,0.62,,1.52,,1.77,1.66,1.35,1.3,,,,4.79
