,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.43,1.29,1.38,1.24,1.1,0.98,0.3,0.21,0.37,0.21,0.23,0.22,0.15,0.23,0.11,0.2
f_1,1.09,0.42,1.13,1.27,1.17,1.15,0.24,0.34,0.26,0.22,0.22,0.32,0.12,0.2,0.19,0.21
e_1,1.37,0.7,0.42,1.29,1.18,1.23,0.36,0.39,0.27,0.27,0.28,0.3,0.18,0.26,0.19,0.34
c_1,1.75,1.29,1.1,0.39,1.21,1.17,0.33,0.37,0.15,0.36,0.25,0.27,0.19,0.22,0.18,0.25
b_1,1.39,1.61,1.25,0.75,0.38,1.34,0.42,0.4,0.3,0.35,0.49,0.28,0.22,0.3,0.21,0.28
a_1,1.45,2.06,1.56,1.85,0.81,0.32,0.57,0.56,0.4,0.37,0.4,0.3,0.3,0.69,0.26,0.34
h_1,2.01,2.31,2.1,2.15,2.42,1.84,0.31,0.64,0.43,0.37,0.41,0.41,0.51,0.4,0.36,0.39
g_1,2.24,2.4,2.34,2.24,2.67,2.17,0.47,0.29,0.54,0.49,0.52,0.48,0.26,0.44,0.41,0.44
d_0,3.25,2.35,1.39,2.79,2.45,2.33,0.76,0.72,0.34,0.53,0.55,0.46,0.4,0.42,0.37,0.52
c_0,1.32,2.72,2.48,5.09,2.62,2.35,0.77,0.7,0.75,0.33,0.57,0.49,0.4,0.43,0.33,0.5
b_0,1.98,2.62,2.35,3.74,3.39,2.15,0.8,0.67,0.54,0.28,0.32,0.5,0.33,0.42,0.35,0.4
f_0,2.35,3.9,2.76,2.51,2.63,2.76,0.83,0.5,0.6,0.56,0.6,0.29,0.39,0.54,0.25,0.59
h_0,2.74,2.94,3.03,2.83,3.19,2.59,1.2,0.85,0.67,0.55,0.55,0.61,0.51,0.52,0.43,0.49
a_0,2.85,3.42,3.43,3.14,3.28,3.77,0.93,1.03,0.72,0.57,0.41,0.53,0.42,0.29,0.42,0.46
g_0,3.04,3.39,3.46,3.44,3.07,2.76,0.79,1.46,0.73,0.71,0.69,0.68,0.38,0.63,0.55,0.69
e_0,2.85,4.9,4.47,3.44,3.49,2.73,0.87,0.68,0.62,0.52,0.78,0.31,0.51,0.61,0.41,0.29
