,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.92,1.0,0.86,0.68,0.58,0.66,0.57,0.64,0.61,0.52,0.49,0.54,0.43,0.57
e_1,0.81,1.0,0.95,1.18,0.95,0.86,0.69,0.72,0.59,0.85,0.7,0.71,0.63,0.59,0.54,0.59
d_1,1.08,1.01,1.0,0.88,0.97,0.79,0.73,0.59,0.81,0.67,0.66,0.62,0.59,0.66,0.56,0.49
c_1,1.0,0.86,1.13,1.0,1.31,0.86,0.75,0.69,0.64,0.49,0.53,0.65,0.56,0.58,0.55,0.52
b_1,1.15,1.04,1.05,0.77,1.0,1.35,0.79,0.69,0.76,0.67,0.64,0.67,0.64,0.55,0.69,0.53
a_1,1.4,1.16,1.25,1.14,0.78,1.0,0.88,0.81,0.84,0.84,0.9,0.73,0.83,0.64,0.7,0.57
h_1,1.68,1.49,1.4,1.31,1.3,1.1,1.0,1.01,0.89,0.92,0.87,0.84,0.84,0.76,0.73,0.91
g_1,1.57,1.38,1.68,1.43,1.47,1.18,0.99,1.0,1.02,0.85,1.06,1.12,0.84,0.91,0.83,0.78
c_0,1.75,1.63,1.21,1.55,1.27,1.22,1.11,0.97,1.0,1.29,1.25,0.9,0.94,0.98,0.88,0.86
d_0,1.53,1.23,1.5,1.99,1.48,1.21,1.11,1.22,0.77,1.0,0.98,0.94,0.95,0.87,0.85,0.88
b_0,1.68,1.39,1.46,1.85,1.55,1.18,1.16,0.93,0.81,0.97,1.0,0.88,1.01,1.23,0.91,0.85
f_0,1.98,1.46,1.6,1.59,1.38,1.38,1.26,0.87,1.14,1.06,1.11,1.0,0.97,0.98,1.23,0.78
h_0,2.0,1.64,1.69,1.78,1.49,1.17,1.18,1.2,1.09,1.05,0.99,1.0,1.0,0.95,0.96,1.03
a_0,1.8,1.61,1.54,1.7,1.77,1.48,1.31,1.1,1.0,1.12,0.83,1.03,1.03,1.0,0.93,1.04
e_0,2.31,1.78,1.81,1.77,1.47,1.41,1.41,1.27,1.16,1.17,1.08,0.82,1.02,1.11,1.0,0.88
g_0,1.73,1.74,2.01,1.94,1.85,1.78,1.14,1.27,1.22,1.1,1.21,1.32,0.98,0.96,1.07,1.0
