,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.0,0.76,1.05,0.55,0.54,0.5,0.92,2.31,0.91,0.76,1.07,1.01,0.93,1.04,0.65,0.97
f_1,1.75,12.89,0.64,0.56,0.48,0.58,0.86,0.99,0.82,0.88,0.9,0.53,0.87,0.8,0.62,0.81
c_1,0.54,0.58,12.36,0.66,1.77,0.56,0.84,0.89,0.73,0.41,0.64,0.97,0.93,0.9,0.89,0.94
d_1,0.49,0.68,0.46,16.87,0.67,0.69,1.13,0.5,1.14,2.42,1.17,1.12,1.08,1.06,1.13,1.04
b_1,0.59,0.58,0.59,0.68,15.3,1.8,0.71,0.75,0.82,0.8,0.48,0.89,0.98,0.76,1.11,0.83
a_1,0.64,0.68,0.64,0.72,0.6,21.37,0.89,0.72,1.06,1.11,1.22,0.96,1.3,0.74,1.06,1.07
h_1,0.68,1.28,0.6,0.87,0.57,0.61,4.61,0.85,1.71,1.1,1.06,1.12,0.68,1.19,0.86,1.59
d_0,0.66,0.83,2.18,0.41,0.84,0.73,1.2,2.12,0.83,0.63,1.2,0.99,0.94,1.19,1.14,1.05
g_1,0.56,0.68,0.68,1.51,0.59,0.72,1.18,0.83,5.04,1.22,1.14,2.32,1.09,0.91,1.26,0.87
c_0,0.75,0.93,0.58,0.93,0.5,0.69,1.29,1.01,1.32,2.5,3.35,1.17,1.41,1.35,1.4,1.23
b_0,0.79,0.83,0.98,1.02,0.34,0.56,1.2,1.29,0.95,1.14,2.86,1.1,1.16,3.31,1.4,1.36
f_0,0.42,0.57,0.92,0.91,0.88,0.83,1.26,1.1,1.09,1.09,1.43,2.9,1.27,1.01,3.53,1.51
h_0,0.86,1.43,0.64,0.91,0.66,0.65,0.8,0.83,1.54,1.03,1.05,1.1,0.69,1.07,1.04,1.53
a_0,0.66,0.91,0.96,0.95,0.56,0.53,1.18,1.41,0.84,1.3,1.21,1.21,1.16,2.99,1.22,1.1
e_0,0.42,1.03,0.83,0.9,0.73,1.01,1.33,0.79,1.0,0.87,0.94,1.11,1.23,1.17,3.49,1.57
g_0,0.58,0.58,0.66,1.99,0.81,0.63,0.96,0.67,0.74,1.11,1.29,1.91,1.17,1.31,1.35,0.88
