,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,5.96,0.06,0.08,0.08,0.06,0.09,0.28,0.28,0.39,0.72,0.46,0.4,0.57,0.33,,0.39
d_1,0.07,6.01,0.07,0.07,0.07,0.1,0.27,0.28,0.79,,0.42,0.36,0.68,0.3,0.44,0.47
f_1,0.14,0.07,6.1,0.06,0.07,0.06,0.31,0.31,0.37,0.45,,0.38,0.6,0.41,0.29,0.54
c_1,0.05,0.07,0.09,6.72,0.17,0.08,0.32,0.16,,0.42,0.47,0.19,0.63,0.4,0.34,0.63
b_1,0.09,0.05,0.07,0.06,7.02,0.16,0.34,0.26,0.29,0.39,0.38,,0.85,0.37,0.31,0.62
a_1,0.07,0.08,0.07,0.09,0.08,9.9,0.23,0.32,0.32,0.45,0.29,0.42,0.42,,0.52,0.71
h_1,0.27,0.25,0.34,0.41,0.28,0.27,13.64,1.24,1.52,1.25,1.44,1.64,,1.25,0.9,3.53
g_1,0.28,0.53,0.26,0.16,0.33,0.23,1.2,17.0,1.37,1.19,2.17,1.84,1.25,1.13,1.3,
c_0,0.37,0.46,0.38,,0.33,0.33,1.68,1.52,12.94,1.76,1.89,3.44,1.82,2.17,1.98,2.61
d_0,0.5,,0.41,0.88,0.42,0.33,1.73,0.81,1.06,12.72,2.01,1.91,3.17,1.65,1.46,2.14
f_0,0.35,0.44,,0.37,0.4,,1.44,1.92,2.09,1.59,14.73,1.61,3.21,,4.8,2.71
b_0,0.31,0.48,0.42,0.4,,0.27,1.32,1.58,2.15,1.4,1.52,15.08,3.98,4.74,1.3,2.35
h_0,0.47,0.39,0.93,0.55,0.66,0.36,,3.5,3.55,3.08,2.25,1.93,,3.0,3.0,5.97
a_0,0.4,0.42,0.38,0.34,0.27,,1.74,1.13,1.61,1.75,1.45,1.66,4.05,20.46,2.03,3.97
e_0,,0.35,0.43,0.3,,0.64,1.74,1.73,1.61,2.62,1.78,1.89,3.45,,20.93,2.76
g_0,0.5,1.0,0.44,0.59,0.5,0.51,1.92,,2.19,2.57,3.94,4.32,3.98,2.76,2.76,
