,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.91,0.36,0.26,0.37,0.26,0.18,0.28,0.51,0.23,0.25,0.28,0.25,0.16,0.27,0.12,0.25
f_1,0.58,0.91,0.3,0.3,0.2,0.15,0.27,0.27,0.22,0.26,0.23,0.11,0.19,0.26,0.11,0.18
d_1,0.36,0.34,0.92,0.24,0.23,0.16,0.34,0.17,0.24,0.49,0.28,0.24,0.22,0.27,0.21,0.25
c_1,0.33,0.3,0.29,0.9,0.49,0.18,0.28,0.26,0.19,0.14,0.17,0.22,0.17,0.26,0.17,0.24
b_1,0.3,0.34,0.31,0.31,0.89,0.36,0.26,0.28,0.21,0.23,0.15,0.21,0.14,0.25,0.21,0.18
a_1,0.35,0.39,0.3,0.33,0.27,0.88,0.31,0.24,0.21,0.27,0.26,0.24,0.12,0.25,0.18,0.19
h_1,0.43,0.51,0.34,0.31,0.27,0.15,0.63,0.27,0.3,0.25,0.26,0.22,0.21,0.22,0.2,0.32
d_0,0.34,0.36,0.22,0.62,0.3,0.19,0.28,0.5,0.24,0.2,0.28,0.25,0.22,0.29,0.18,0.2
g_1,0.33,0.31,0.52,0.34,0.27,0.16,0.34,0.25,0.6,0.32,0.28,0.38,0.23,0.29,0.24,0.2
c_0,0.39,0.42,0.4,0.29,0.19,0.17,0.35,0.32,0.27,0.51,0.55,0.29,0.29,0.31,0.2,0.27
b_0,0.39,0.42,0.35,0.36,0.22,0.13,0.37,0.32,0.29,0.32,0.48,0.27,0.44,0.33,0.22,0.26
f_0,0.3,0.27,0.4,0.37,0.34,0.2,0.35,0.33,0.26,0.29,0.32,0.46,0.23,0.31,0.41,0.31
a_0,0.44,0.38,0.35,0.34,0.28,0.16,0.35,0.31,0.23,0.28,0.25,0.27,0.46,0.32,0.21,0.23
h_0,0.38,0.49,0.4,0.32,0.27,0.15,0.23,0.29,0.34,0.3,0.26,0.25,0.22,0.25,0.2,0.36
e_0,0.28,0.43,0.4,0.36,0.29,0.26,0.29,0.26,0.24,0.31,0.33,0.27,0.23,0.36,0.4,0.28
g_0,0.34,0.33,0.53,0.31,0.32,0.17,0.32,0.24,0.19,0.29,0.25,0.39,0.19,0.3,0.25,0.19
