,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.43,0.66,0.41,0.36,0.22,0.23,0.22,0.23,0.26,0.24,0.13,0.21,0.18,0.13,0.21
d_1,0.48,0.94,0.41,0.34,0.36,0.28,0.3,0.23,0.42,0.2,0.29,0.27,0.23,0.21,0.21,0.16
e_1,0.43,0.4,0.94,0.48,0.37,0.28,0.27,0.27,0.26,0.45,0.24,0.29,0.28,0.21,0.17,0.21
c_1,0.46,0.46,0.39,0.94,0.63,0.23,0.26,0.23,0.14,0.22,0.2,0.23,0.24,0.17,0.17,0.2
b_1,0.44,0.47,0.41,0.36,0.94,0.51,0.26,0.23,0.25,0.27,0.16,0.24,0.26,0.2,0.22,0.26
a_1,0.56,0.51,0.38,0.53,0.39,0.94,0.37,0.3,0.34,0.25,0.31,0.31,0.36,0.16,0.24,0.25
h_1,0.88,0.64,0.66,0.73,0.41,0.4,0.75,0.47,0.42,0.39,0.46,0.38,0.33,0.32,0.29,0.47
g_1,0.64,1.05,0.55,0.7,0.63,0.43,0.36,0.75,0.44,0.43,0.41,0.53,0.32,0.32,0.31,0.26
c_0,0.88,0.74,0.69,0.67,0.46,0.4,0.44,0.45,0.66,0.49,0.67,0.46,0.45,0.35,0.32,0.37
d_0,0.73,0.52,0.6,1.13,0.57,0.47,0.46,0.4,0.35,0.66,0.51,0.43,0.37,0.35,0.31,0.32
b_0,0.86,0.86,0.74,0.81,0.39,0.37,0.42,0.45,0.43,0.4,0.66,0.41,0.5,0.59,0.31,0.34
f_0,0.64,0.8,0.58,0.89,0.6,0.44,0.45,0.41,0.46,0.55,0.47,0.63,0.47,0.38,0.67,0.32
h_0,1.08,0.97,0.74,0.67,0.63,0.44,0.29,0.63,0.53,0.51,0.4,0.4,0.37,0.33,0.35,0.48
a_0,0.89,0.85,0.8,0.98,0.6,0.37,0.44,0.46,0.53,0.51,0.38,0.42,0.5,0.64,0.39,0.42
e_0,1.08,0.87,0.6,0.75,0.61,0.55,0.56,0.54,0.56,0.54,0.59,0.34,0.51,0.45,0.63,0.37
g_0,0.82,1.3,0.72,0.77,0.65,0.5,0.44,0.44,0.49,0.47,0.51,0.7,0.45,0.35,0.44,0.31
