,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,18.6,38.09,26.93,39.89,35.23,9.55,12.66,6.43,7.77,6.48,9.43,4.72,4.94,,7.29
f_1,42.06,0.44,33.99,34.11,22.35,51.05,6.31,10.62,7.23,7.7,7.63,,2.87,7.73,9.54,4.43
d_1,40.75,28.98,0.44,55.73,34.21,41.41,7.73,5.74,6.52,,9.03,6.92,4.3,4.44,7.14,3.43
c_1,36.58,34.06,40.31,0.42,27.87,41.98,9.79,10.91,,3.07,10.53,7.28,6.22,7.33,9.69,5.43
b_1,43.04,49.35,43.71,19.74,0.38,38.41,9.24,9.59,10.1,8.12,,10.37,6.46,5.8,8.28,5.42
a_1,48.41,86.5,55.78,53.53,18.87,0.31,15.84,13.75,7.47,14.05,,13.63,,,,6.84
h_1,21.68,15.49,13.59,21.92,21.41,13.82,0.38,5.11,2.73,3.12,4.69,3.16,,5.24,3.97,2.21
g_1,22.3,23.6,17.47,15.78,25.69,22.96,4.64,0.35,3.17,4.71,4.99,5.37,2.17,4.72,3.22,
c_0,13.97,15.11,9.56,,16.87,18.37,3.59,3.22,0.52,3.87,3.38,2.57,2.2,3.61,3.02,2.34
d_0,8.56,15.73,,12.51,15.53,11.18,7.86,6.72,3.26,0.52,2.67,2.41,2.11,5.36,2.24,2.15
b_0,15.06,13.74,13.69,17.92,,,4.5,7.3,2.26,3.26,0.46,3.25,2.77,4.44,2.88,2.07
f_0,25.04,,13.84,19.5,34.01,17.56,5.63,2.96,4.09,2.74,3.23,0.46,2.24,3.89,2.99,1.3
h_0,13.36,13.13,19.63,15.2,15.49,,,2.81,2.58,3.24,1.97,1.86,,1.82,3.3,1.83
a_0,22.77,26.33,31.86,17.52,19.84,,6.58,6.47,4.39,6.14,1.95,3.71,2.56,0.42,,2.14
e_0,,29.45,22.01,28.4,27.74,,5.81,5.59,4.33,3.14,3.95,1.99,1.71,,0.38,
g_0,11.9,20.61,13.48,14.43,18.12,16.19,2.51,,3.54,2.6,2.87,5.68,1.62,2.45,,
