,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,3.57,3.89,4.35,4.38,5.78,0.86,1.07,0.82,0.91,0.83,3.46,0.4,0.68,0.75,0.75
e_1,2.31,0.45,5.08,4.54,3.59,4.05,1.39,1.61,0.92,0.83,0.93,1.18,0.67,1.19,0.79,2.99
d_1,4.69,5.06,0.43,4.6,3.77,3.19,1.36,0.85,0.89,5.1,0.85,0.85,0.61,0.89,0.38,1.08
c_1,4.11,3.99,5.63,0.41,4.64,5.48,1.42,1.24,3.27,0.48,0.98,0.99,0.72,1.02,0.63,0.94
b_1,5.87,6.55,5.59,2.51,0.37,4.88,1.29,1.72,1.28,1.1,4.74,1.03,0.88,1.19,1.2,0.86
a_1,8.15,7.87,5.18,7.34,3.02,0.32,1.78,1.55,1.21,1.2,1.88,1.22,0.99,10.09,0.65,1.28
h_1,5.07,4.48,4.48,5.45,6.11,4.68,0.36,1.43,0.79,1.09,0.81,0.98,1.93,0.87,0.82,1.05
g_1,5.78,6.04,4.89,5.68,5.19,7.21,1.15,0.32,1.18,1.47,1.14,0.97,0.78,1.08,1.74,1.22
c_0,5.28,6.77,2.74,17.27,9.71,7.06,1.64,1.82,0.43,1.3,1.13,0.93,0.83,1.24,0.74,1.08
d_0,6.28,2.59,16.12,6.16,7.18,6.07,1.76,2.52,1.75,0.45,1.15,0.98,0.82,1.0,0.89,1.06
b_0,6.71,4.92,5.11,7.64,25.02,5.02,1.43,1.5,0.61,1.4,0.4,1.05,0.75,1.58,0.74,1.03
f_0,26.02,5.44,5.25,5.29,7.52,5.47,1.73,1.33,1.09,1.09,1.35,0.39,0.84,1.08,0.57,0.95
h_0,7.89,6.93,6.11,7.11,7.19,5.72,4.13,2.43,1.44,1.76,1.5,1.33,3.34,1.24,1.08,1.06
a_0,9.06,5.83,6.53,6.89,9.93,,2.44,1.94,1.71,1.78,0.66,1.18,0.93,0.35,0.94,1.1
g_0,10.77,8.43,7.33,8.74,8.19,5.8,1.62,6.21,1.21,1.46,1.19,1.72,0.69,1.36,2.55,1.31
e_0,10.5,19.41,8.03,7.22,8.64,6.67,2.16,1.58,1.23,1.48,1.58,0.55,0.98,0.95,1.36,0.32
