,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.72,1.0,1.11,1.15,0.84,0.97,1.33,1.16,1.0,1.02,1.13,0.73,0.9,,1.11
f_1,1.4,1.0,1.1,0.99,0.92,0.93,0.8,0.96,1.21,1.02,0.9,,1.1,0.82,0.85,1.11
d_1,1.0,0.91,1.0,1.04,0.87,1.0,1.09,,0.76,1.38,1.0,0.92,1.11,1.12,1.0,0.85
c_1,0.9,1.01,0.97,1.0,1.27,1.13,0.89,0.77,1.02,,1.0,0.89,0.96,1.19,1.08,1.16
b_1,0.87,1.09,1.15,0.79,1.0,1.37,1.02,1.11,1.03,1.0,,1.18,1.04,1.1,0.9,
a_1,1.19,1.08,1.0,0.88,0.73,1.0,0.98,0.89,,1.03,,1.15,,0.87,0.94,1.09
h_1,1.04,1.25,0.92,1.13,0.98,1.02,1.0,0.92,0.91,0.93,0.87,0.92,0.89,,1.15,1.09
d_0,0.75,1.04,,1.3,0.9,1.13,1.09,1.0,1.25,0.95,1.0,0.82,1.11,0.92,0.97,1.11
g_1,0.86,0.82,1.31,0.98,0.97,,1.1,0.8,1.0,1.04,0.98,1.25,0.91,1.07,1.14,
c_0,1.0,0.98,0.72,,1.0,0.97,1.08,1.05,0.96,1.0,1.36,1.0,0.94,1.07,1.0,1.13
b_0,0.99,1.11,1.0,1.0,,,1.15,1.0,1.02,0.74,1.0,1.15,,1.02,0.84,0.79
f_0,0.88,,1.09,1.12,0.85,0.87,1.09,1.22,0.8,1.0,0.87,1.0,0.98,1.2,1.49,0.77
a_0,1.37,0.91,0.9,1.04,0.97,,1.12,0.9,1.1,1.06,,1.02,1.0,1.06,0.96,
h_0,1.11,1.22,0.89,0.84,0.91,1.15,,1.09,0.93,0.93,0.98,0.84,0.95,,0.79,1.26
e_0,,1.18,1.0,0.93,1.11,1.06,0.87,1.03,0.87,1.0,1.19,0.67,1.04,1.27,1.0,1.1
g_0,0.9,0.9,1.17,0.86,,0.92,0.92,0.9,,0.89,1.26,1.29,,0.79,0.91,
