,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.42,1.54,2.29,1.7,1.61,1.59,2.72,3.08,3.31,3.83,3.51,2.87,4.1,3.39,2.87,3.88
d_1,1.78,2.5,1.67,1.53,1.67,1.6,3.33,3.0,5.33,2.87,4.63,3.83,4.26,4.03,3.94,4.21
e_1,1.6,1.47,2.52,1.99,1.76,1.66,3.43,3.35,3.38,5.51,3.65,3.85,4.56,3.93,3.55,5.07
c_1,1.57,1.68,1.52,2.67,2.52,1.77,3.0,3.03,2.83,3.18,3.12,3.67,4.47,3.74,3.69,4.74
b_1,1.67,1.84,1.57,1.52,2.82,2.8,3.32,3.08,3.58,3.52,2.98,3.73,4.59,3.23,3.78,4.55
a_1,1.89,1.91,1.64,1.76,1.45,3.31,3.39,3.66,3.39,3.28,4.2,3.78,5.15,3.08,4.13,4.72
h_1,2.11,1.8,1.58,1.82,1.65,1.44,4.37,3.99,3.45,3.46,3.4,3.79,4.3,3.53,3.79,5.44
g_1,1.64,2.26,1.57,1.83,1.82,1.46,3.29,4.68,3.5,3.18,3.72,4.76,4.23,4.45,4.01,4.54
c_0,1.94,1.61,1.82,1.69,1.52,1.89,3.83,3.43,4.54,4.0,5.86,3.72,5.03,4.77,4.05,4.84
d_0,1.74,1.5,1.47,2.67,1.95,1.64,3.2,3.53,2.46,4.59,3.23,4.15,4.52,4.05,3.95,4.81
b_0,1.82,1.62,1.77,1.92,1.67,1.65,3.58,3.66,3.43,4.06,4.73,4.06,4.78,6.51,4.01,5.04
f_0,1.7,1.83,1.52,1.95,1.73,1.7,3.67,3.27,3.73,3.31,3.95,5.09,5.23,3.97,6.08,4.84
h_0,2.07,1.79,1.75,1.78,1.74,1.61,2.94,4.05,3.27,3.55,3.74,3.51,4.17,3.84,3.82,5.7
a_0,1.89,1.67,1.7,1.71,1.79,1.61,3.76,3.43,3.62,3.49,3.33,3.92,5.39,5.34,4.11,5.24
e_0,1.91,1.73,1.34,1.91,1.79,1.75,3.57,3.31,3.69,3.61,3.73,3.45,4.71,3.71,5.56,4.79
g_0,1.82,2.25,1.36,1.57,1.84,1.69,3.17,3.0,3.9,2.81,3.82,4.83,4.18,4.03,4.47,4.25
