,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.18,0.75,0.71,0.79,0.69,0.72,0.15,0.15,0.22,0.16,0.38,0.16,0.09,0.19,0.13,0.17
e_1,0.42,0.18,0.99,0.82,0.93,0.88,0.26,0.18,0.26,0.15,0.2,0.15,0.14,0.31,0.24,0.12
c_1,0.92,0.62,0.15,0.99,0.83,0.6,0.2,0.09,0.25,0.32,0.15,0.14,0.12,0.15,0.13,0.11
d_1,0.78,0.94,0.76,0.15,0.79,0.69,0.24,0.45,0.13,0.14,0.14,0.19,0.13,0.16,0.15,0.07
b_1,0.86,0.92,0.39,0.84,0.13,0.91,0.24,0.18,0.25,0.19,0.16,0.37,0.11,0.14,0.18,0.1
a_1,0.93,0.77,0.83,0.87,0.39,0.1,0.26,0.19,0.23,0.21,0.17,0.18,0.11,0.15,0.39,0.13
h_1,0.61,0.67,0.68,0.59,0.61,0.62,0.06,0.11,0.17,0.12,0.12,0.12,0.12,0.1,0.11,0.08
d_0,0.63,0.32,0.73,1.49,0.57,0.5,0.2,0.07,0.22,0.14,0.13,0.15,0.1,0.12,0.12,0.17
g_1,0.69,0.62,0.7,0.52,0.64,0.74,0.12,0.15,0.05,0.1,0.14,0.11,0.07,0.12,0.13,0.14
c_0,0.72,0.6,1.59,0.29,0.77,0.66,0.17,0.14,0.2,0.06,0.12,0.14,0.1,0.11,0.14,0.1
f_0,1.7,0.54,0.7,0.44,0.65,0.54,0.23,0.11,0.11,0.12,0.06,0.13,0.1,0.13,0.13,0.06
b_0,0.68,0.55,0.92,0.45,1.34,0.68,0.17,0.13,0.16,0.06,0.12,0.05,0.08,0.1,0.11,0.09
h_0,0.65,0.51,0.57,0.62,0.56,0.48,0.33,0.13,0.19,0.13,0.12,0.12,0.13,0.1,0.12,0.09
e_0,0.86,0.77,0.82,0.48,0.64,0.53,0.19,0.14,0.15,0.1,0.06,0.12,0.09,0.04,0.11,0.07
a_0,0.83,0.58,0.67,0.52,0.63,0.79,0.19,0.14,0.16,0.1,0.13,0.06,0.09,0.09,0.04,0.1
g_0,0.76,0.7,0.54,0.58,0.54,0.58,0.13,0.12,0.31,0.15,0.1,0.12,0.07,0.1,0.11,0.13
